"Lung"	"Bone marrow"	"value"
"475"	"lung.ciliated.cell"	"nampt.neutrophil"	0.00976181179226865
"115"	"cd8.positive..alpha.beta.t.cell"	"erythrocyte"	0.00975609756097561
"68"	"pulmonary.ionocyte"	"cd8.positive..alpha.beta.t.cell"	0.00968914008881712
"190"	"vein.endothelial.cell"	"erythroid.progenitor"	0.00968054211035818
"385"	"b.cell"	"myeloid.progenitor"	0.00964320154291225
"11"	"capillary.endothelial.cell"	"cd4.positive..alpha.beta.t.cell"	0.00950118764845606
"285"	"lung.ciliated.cell"	"macrophage"	0.00946798917944094
"118"	"alveolar.fibroblast"	"erythrocyte"	0.00944287063267233
"270"	"alveolar.fibroblast"	"macrophage"	0.00943396226415094
"282"	"endothelial.cell.of.lymphatic.vessel"	"macrophage"	0.00940623162845385
"362"	"lung.microvascular.endothelial.cell"	"monocyte"	0.00930232558139535
"605"	"type.i.pneumocyte"	"plasma.cell"	0.0092436974789916
"498"	"alveolar.fibroblast"	"neutrophil"	0.0092378752886836
"600"	"pulmonary.ionocyte"	"plasma.cell"	0.00923206042803189
"275"	"bronchial.vessel.endothelial.cell"	"macrophage"	0.00917431192660551
"42"	"alveolar.fibroblast"	"cd8.positive..alpha.beta.t.cell"	0.00916380297823597
"211"	"macrophage"	"granulocyte"	0.00915032679738562
"163"	"capillary.endothelial.cell"	"erythroid.progenitor"	0.00911002102312544
"570"	"vein.endothelial.cell"	"nk.cell"	0.00909918107370337
"5"	"b.cell"	"cd4.positive..alpha.beta.t.cell"	0.00904159132007233
"496"	"cd4.positive..alpha.beta.t.cell"	"neutrophil"	0.00903342366757001
"349"	"basophil"	"monocyte"	0.00902527075812274
"330"	"non.classical.monocyte"	"memory.b.cell"	0.00899280575539568
"217"	"pericyte.cell"	"granulocyte"	0.00896495517522412
"358"	"endothelial.cell.of.lymphatic.vessel"	"monocyte"	0.00894700619408121
"134"	"lung.microvascular.endothelial.cell"	"erythrocyte"	0.00892857142857143
"83"	"basophil"	"cd24.neutrophil"	0.0089197224975223
"57"	"lung.ciliated.cell"	"cd8.positive..alpha.beta.t.cell"	0.00888681010289991
"288"	"mesothelial.cell"	"macrophage"	0.00887902330743618
"249"	"macrophage"	"hematopoietic.stem.cell"	0.00886917960088692
"350"	"bronchial.smooth.muscle.cell"	"monocyte"	0.00882723833543506
"222"	"respiratory.mucous.cell"	"granulocyte"	0.00879396984924623
"157"	"b.cell"	"erythroid.progenitor"	0.00878734622144113
"273"	"basophil"	"macrophage"	0.0087173100871731
"541"	"bronchial.vessel.endothelial.cell"	"nk.cell"	0.0087073007367716
"283"	"fibroblast"	"macrophage"	0.00865637937523523
"494"	"vein.endothelial.cell"	"nampt.neutrophil"	0.00864553314121038
"558"	"non.classical.monocyte"	"nk.cell"	0.00847457627118644
"212"	"mesothelial.cell"	"granulocyte"	0.00846432889963724
"108"	"respiratory.mucous.cell"	"cd24.neutrophil"	0.00835654596100279
"331"	"pericyte.cell"	"memory.b.cell"	0.00832562442183164
"592"	"mesothelial.cell"	"plasma.cell"	0.00827586206896552
"29"	"plasmacytoid.dendritic.cell"	"cd4.positive..alpha.beta.t.cell"	0.008274231678487
"302"	"type.ii.pneumocyte"	"macrophage"	0.00821596244131455
"98"	"mesothelial.cell"	"cd24.neutrophil"	0.00812274368231047
"233"	"b.cell"	"hematopoietic.stem.cell"	0.00810185185185185
"394"	"dendritic.cell"	"myeloid.progenitor"	0.008
"490"	"smooth.muscle.cell"	"nampt.neutrophil"	0.00799086757990868
"319"	"endothelial.cell.of.artery"	"memory.b.cell"	0.00798934753661784
"568"	"type.ii.pneumocyte"	"nk.cell"	0.00796812749003984
"340"	"type.ii.pneumocyte"	"memory.b.cell"	0.00792393026941363
"424"	"basal.cell"	"naive.b.cell"	0.00786516853932584
"564"	"respiratory.mucous.cell"	"nk.cell"	0.00784929356357928
"499"	"b.cell"	"neutrophil"	0.00784655623365301
"452"	"smooth.muscle.cell"	"naive.b.cell"	0.00783289817232376
"73"	"type.i.pneumocyte"	"cd8.positive..alpha.beta.t.cell"	0.00777000777000777
"381"	"cd8.positive..alpha.beta.t.cell"	"myeloid.progenitor"	0.00776531492666091
"114"	"vein.endothelial.cell"	"cd24.neutrophil"	0.00774336283185841
"119"	"b.cell"	"erythrocyte"	0.00771775082690187
"532"	"vein.endothelial.cell"	"neutrophil"	0.00767018216682646
"554"	"mesothelial.cell"	"nk.cell"	0.00766283524904215
"465"	"bronchial.vessel.endothelial.cell"	"nampt.neutrophil"	0.00766016713091922
"556"	"neutrophil"	"nk.cell"	0.0076530612244898
"264"	"type.ii.pneumocyte"	"hematopoietic.stem.cell"	0.00765027322404372
"579"	"bronchial.vessel.endothelial.cell"	"plasma.cell"	0.00765027322404372
"173"	"macrophage"	"erythroid.progenitor"	0.00764006791171477
"479"	"myofibroblast.cell"	"nampt.neutrophil"	0.00760456273764259
"70"	"respiratory.mucous.cell"	"cd8.positive..alpha.beta.t.cell"	0.00759493670886076
"537"	"b.cell"	"nk.cell"	0.00746887966804979
"209"	"lung.ciliated.cell"	"granulocyte"	0.0074487895716946
"289"	"myofibroblast.cell"	"macrophage"	0.00743657042869641
"320"	"endothelial.cell.of.lymphatic.vessel"	"memory.b.cell"	0.0074173971679029
"132"	"intermediate.monocyte"	"erythrocyte"	0.00741525423728814
"528"	"smooth.muscle.cell"	"neutrophil"	0.00741163055872292
"28"	"plasma.cell"	"cd4.positive..alpha.beta.t.cell"	0.00735294117647059
"31"	"respiratory.goblet.cell"	"cd4.positive..alpha.beta.t.cell"	0.00735294117647059
"433"	"endothelial.cell.of.artery"	"naive.b.cell"	0.0072926162260711
"550"	"intermediate.monocyte"	"nk.cell"	0.0072463768115942
"516"	"mesothelial.cell"	"neutrophil"	0.00721153846153846
"3"	"adventitial.cell"	"cd4.positive..alpha.beta.t.cell"	0.00720461095100865
"602"	"respiratory.mucous.cell"	"plasma.cell"	0.00719424460431655
"19"	"lung.ciliated.cell"	"cd4.positive..alpha.beta.t.cell"	0.00708860759493671
"431"	"club.cell"	"naive.b.cell"	0.00708382526564345
"299"	"serous.cell.of.epithelium.of.bronchus"	"macrophage"	0.00707547169811321
"450"	"respiratory.mucous.cell"	"naive.b.cell"	0.0070281124497992
"463"	"basophil"	"nampt.neutrophil"	0.00696257615317668
"20"	"lung.microvascular.endothelial.cell"	"cd4.positive..alpha.beta.t.cell"	0.00694444444444444
"193"	"adventitial.cell"	"granulocyte"	0.00691244239631336
"116"	"cd4.positive..alpha.beta.t.cell"	"erythrocyte"	0.00690448791714614
"293"	"pericyte.cell"	"macrophage"	0.00690184049079755
"15"	"endothelial.cell.of.artery"	"cd4.positive..alpha.beta.t.cell"	0.00689655172413793
"120"	"basal.cell"	"erythrocyte"	0.00688073394495413
"379"	"vascular.associated.smooth.muscle.cell"	"monocyte"	0.00688073394495413
"80"	"alveolar.fibroblast"	"cd24.neutrophil"	0.00687876182287188
"172"	"lung.microvascular.endothelial.cell"	"erythroid.progenitor"	0.0068762278978389
"37"	"vascular.associated.smooth.muscle.cell"	"cd4.positive..alpha.beta.t.cell"	0.00687285223367698
"221"	"respiratory.goblet.cell"	"granulocyte"	0.00687285223367698
"589"	"lung.ciliated.cell"	"plasma.cell"	0.00683927699071812
"194"	"alveolar.fibroblast"	"granulocyte"	0.00680272108843537
"75"	"vascular.associated.smooth.muscle.cell"	"cd8.positive..alpha.beta.t.cell"	0.00673076923076923
"314"	"capillary.aerocyte"	"memory.b.cell"	0.00672645739910314
"33"	"serous.cell.of.epithelium.of.bronchus"	"cd4.positive..alpha.beta.t.cell"	0.00666666666666667
"378"	"type.ii.pneumocyte"	"monocyte"	0.00662251655629139
"421"	"adventitial.cell"	"naive.b.cell"	0.00656044985941893
"321"	"fibroblast"	"memory.b.cell"	0.00655469070053257
"586"	"endothelial.cell.of.lymphatic.vessel"	"plasma.cell"	0.0065402223675605
"442"	"neutrophil"	"naive.b.cell"	0.0065359477124183
"401"	"macrophage"	"myeloid.progenitor"	0.00648748841519926
"422"	"alveolar.fibroblast"	"naive.b.cell"	0.00647548566142461
"552"	"lung.microvascular.endothelial.cell"	"nk.cell"	0.00645756457564576
"260"	"respiratory.mucous.cell"	"hematopoietic.stem.cell"	0.00641711229946524
"575"	"b.cell"	"plasma.cell"	0.00638977635782748
"577"	"basophil"	"plasma.cell"	0.00636942675159236
"153"	"cd8.positive..alpha.beta.t.cell"	"erythroid.progenitor"	0.0063441712926249
"355"	"club.cell"	"monocyte"	0.00632911392405063
"601"	"respiratory.goblet.cell"	"plasma.cell"	0.00625
"377"	"type.i.pneumocyte"	"monocyte"	0.00624442462087422
"359"	"fibroblast"	"monocyte"	0.00621375310687655
"16"	"endothelial.cell.of.lymphatic.vessel"	"cd4.positive..alpha.beta.t.cell"	0.00617283950617284
"451"	"serous.cell.of.epithelium.of.bronchus"	"naive.b.cell"	0.00616649537512847
"203"	"club.cell"	"granulocyte"	0.0061633281972265
"82"	"basal.cell"	"cd24.neutrophil"	0.00616016427104723
"376"	"smooth.muscle.cell"	"monocyte"	0.00602928509905254
"113"	"vascular.associated.smooth.muscle.cell"	"cd24.neutrophil"	0.00601956358164033
"525"	"respiratory.goblet.cell"	"neutrophil"	0.00598205383848455
"538"	"basal.cell"	"nk.cell"	0.00597779675491033
"351"	"bronchial.vessel.endothelial.cell"	"monocyte"	0.00592417061611374
"9"	"bronchial.vessel.endothelial.cell"	"cd4.positive..alpha.beta.t.cell"	0.00591715976331361
"606"	"type.ii.pneumocyte"	"plasma.cell"	0.00590841949778434
"489"	"serous.cell.of.epithelium.of.bronchus"	"nampt.neutrophil"	0.00586264656616415
"527"	"serous.cell.of.epithelium.of.bronchus"	"neutrophil"	0.00585774058577406
"440"	"mesothelial.cell"	"naive.b.cell"	0.00583657587548638
"327"	"myofibroblast.cell"	"memory.b.cell"	0.00580270793036751
"196"	"basal.cell"	"granulocyte"	0.00577200577200577
"345"	"adventitial.cell"	"monocyte"	0.00576368876080692
"464"	"bronchial.smooth.muscle.cell"	"nampt.neutrophil"	0.00575539568345324
"128"	"dendritic.cell"	"erythrocyte"	0.00574712643678161
"274"	"bronchial.smooth.muscle.cell"	"macrophage"	0.00574162679425837
"315"	"capillary.endothelial.cell"	"memory.b.cell"	0.00573394495412844
"64"	"non.classical.monocyte"	"cd8.positive..alpha.beta.t.cell"	0.00573065902578797
"304"	"vein.endothelial.cell"	"macrophage"	0.00572246065808298
"593"	"myofibroblast.cell"	"plasma.cell"	0.0056791292001893
"30"	"pulmonary.ionocyte"	"cd4.positive..alpha.beta.t.cell"	0.00560344827586207
"565"	"serous.cell.of.epithelium.of.bronchus"	"nk.cell"	0.00558659217877095
"205"	"endothelial.cell.of.artery"	"granulocyte"	0.00555555555555556
"341"	"vascular.associated.smooth.muscle.cell"	"memory.b.cell"	0.00554938956714761
"279"	"club.cell"	"macrophage"	0.00552486187845304
"306"	"cd4.positive..alpha.beta.t.cell"	"memory.b.cell"	0.00552486187845304
"457"	"cd8.positive..alpha.beta.t.cell"	"nampt.neutrophil"	0.00551615445232467
"206"	"endothelial.cell.of.lymphatic.vessel"	"granulocyte"	0.00551132884262094
"459"	"adventitial.cell"	"nampt.neutrophil"	0.00543056633048875
"89"	"club.cell"	"cd24.neutrophil"	0.00537056928034372
"597"	"pericyte.cell"	"plasma.cell"	0.00531443755535872
"607"	"vascular.associated.smooth.muscle.cell"	"plasma.cell"	0.00528541226215645
"535"	"adventitial.cell"	"nk.cell"	0.00519287833827893
"256"	"plasma.cell"	"hematopoietic.stem.cell"	0.00513698630136986
"21"	"macrophage"	"cd4.positive..alpha.beta.t.cell"	0.00505050505050505
"316"	"classical.monocyte"	"memory.b.cell"	0.00505050505050505
"36"	"type.ii.pneumocyte"	"cd4.positive..alpha.beta.t.cell"	0.00495049504950495
"81"	"b.cell"	"cd24.neutrophil"	0.00494559841740851
"210"	"lung.microvascular.endothelial.cell"	"granulocyte"	0.00494233937397035
"47"	"bronchial.vessel.endothelial.cell"	"cd8.positive..alpha.beta.t.cell"	0.00493583415597236
"488"	"respiratory.mucous.cell"	"nampt.neutrophil"	0.00492206726825267
"406"	"non.classical.monocyte"	"myeloid.progenitor"	0.00491159135559921
"201"	"capillary.endothelial.cell"	"granulocyte"	0.00490196078431373
"456"	"vein.endothelial.cell"	"naive.b.cell"	0.00485436893203883
"230"	"cd4.positive..alpha.beta.t.cell"	"hematopoietic.stem.cell"	0.00483091787439614
"371"	"plasmacytoid.dendritic.cell"	"monocyte"	0.0047142015321155
"469"	"club.cell"	"nampt.neutrophil"	0.00467289719626168
"507"	"club.cell"	"neutrophil"	0.00466853408029879
"41"	"adventitial.cell"	"cd8.positive..alpha.beta.t.cell"	0.00463499420625724
"298"	"respiratory.mucous.cell"	"macrophage"	0.0045766590389016
"22"	"mesothelial.cell"	"cd4.positive..alpha.beta.t.cell"	0.00457317073170732
"72"	"smooth.muscle.cell"	"cd8.positive..alpha.beta.t.cell"	0.00450788880540947
"458"	"cd4.positive..alpha.beta.t.cell"	"nampt.neutrophil"	0.0045004500450045
"411"	"respiratory.goblet.cell"	"myeloid.progenitor"	0.00446428571428571
"303"	"vascular.associated.smooth.muscle.cell"	"macrophage"	0.00444839857651246
"246"	"intermediate.monocyte"	"hematopoietic.stem.cell"	0.00442477876106195
"587"	"fibroblast"	"plasma.cell"	0.0044158972300281
"291"	"nk.cell"	"macrophage"	0.00426439232409382
"430"	"classical.monocyte"	"naive.b.cell"	0.00425079702444208
"170"	"intermediate.monocyte"	"erythroid.progenitor"	0.00423728813559322
"43"	"b.cell"	"cd8.positive..alpha.beta.t.cell"	0.004149377593361
"46"	"bronchial.smooth.muscle.cell"	"cd8.positive..alpha.beta.t.cell"	0.00414507772020725
"253"	"nk.cell"	"hematopoietic.stem.cell"	0.00412583806085611
"308"	"alveolar.fibroblast"	"memory.b.cell"	0.00407055630936228
"62"	"neutrophil"	"cd8.positive..alpha.beta.t.cell"	0.00405131667792032
"571"	"cd8.positive..alpha.beta.t.cell"	"plasma.cell"	0.00401069518716578
"487"	"respiratory.goblet.cell"	"nampt.neutrophil"	0.00398406374501992
"23"	"myofibroblast.cell"	"cd4.positive..alpha.beta.t.cell"	0.0039119804400978
"71"	"serous.cell.of.epithelium.of.bronchus"	"cd8.positive..alpha.beta.t.cell"	0.00390117035110533
"476"	"lung.microvascular.endothelial.cell"	"nampt.neutrophil"	0.00389105058365759
"514"	"lung.microvascular.endothelial.cell"	"neutrophil"	0.00388726919339164
"200"	"capillary.aerocyte"	"granulocyte"	0.00383877159309021
"392"	"classical.monocyte"	"myeloid.progenitor"	0.0037914691943128
"27"	"pericyte.cell"	"cd4.positive..alpha.beta.t.cell"	0.00377714825306893
"8"	"bronchial.smooth.muscle.cell"	"cd4.positive..alpha.beta.t.cell"	0.0037593984962406
"585"	"endothelial.cell.of.artery"	"plasma.cell"	0.00375469336670839
"17"	"fibroblast"	"cd4.positive..alpha.beta.t.cell"	0.00371747211895911
"438"	"lung.microvascular.endothelial.cell"	"naive.b.cell"	0.00371747211895911
"60"	"mesothelial.cell"	"cd8.positive..alpha.beta.t.cell"	0.00364077669902913
"312"	"bronchial.smooth.muscle.cell"	"memory.b.cell"	0.00363636363636364
"462"	"basal.cell"	"nampt.neutrophil"	0.00358744394618834
"500"	"basal.cell"	"neutrophil"	0.003584229390681
"254"	"non.classical.monocyte"	"hematopoietic.stem.cell"	0.00355450236966825
"361"	"lung.ciliated.cell"	"monocyte"	0.00353356890459364
"79"	"adventitial.cell"	"cd24.neutrophil"	0.00346921075455334
"69"	"respiratory.goblet.cell"	"cd8.positive..alpha.beta.t.cell"	0.00346620450606586
"578"	"bronchial.smooth.muscle.cell"	"plasma.cell"	0.00344827586206897
"34"	"smooth.muscle.cell"	"cd4.positive..alpha.beta.t.cell"	0.00343347639484979
"365"	"myofibroblast.cell"	"monocyte"	0.00342298288508557
"334"	"pulmonary.ionocyte"	"memory.b.cell"	0.00340136054421769
"584"	"dendritic.cell"	"plasma.cell"	0.0033955857385399
"576"	"basal.cell"	"plasma.cell"	0.00337837837837838
"338"	"smooth.muscle.cell"	"memory.b.cell"	0.00335570469798658
"58"	"lung.microvascular.endothelial.cell"	"cd8.positive..alpha.beta.t.cell"	0.00332778702163062
"544"	"classical.monocyte"	"nk.cell"	0.00327332242225859
"581"	"capillary.endothelial.cell"	"plasma.cell"	0.00326441784548422
"322"	"intermediate.monocyte"	"memory.b.cell"	0.0032258064516129
"228"	"vein.endothelial.cell"	"granulocyte"	0.00319488817891374
"580"	"capillary.aerocyte"	"plasma.cell"	0.00319148936170213
"142"	"plasma.cell"	"erythrocyte"	0.00318471337579618
"337"	"serous.cell.of.epithelium.of.bronchus"	"memory.b.cell"	0.00317965023847377
"25"	"nk.cell"	"cd4.positive..alpha.beta.t.cell"	0.00306936771025169
"364"	"mesothelial.cell"	"monocyte"	0.00304878048780488
"366"	"neutrophil"	"monocyte"	0.0030441400304414
"229"	"cd8.positive..alpha.beta.t.cell"	"hematopoietic.stem.cell"	0.00303336703741153
"329"	"nk.cell"	"memory.b.cell"	0.00301932367149758
"591"	"macrophage"	"plasma.cell"	0.00299850074962519
"382"	"cd4.positive..alpha.beta.t.cell"	"myeloid.progenitor"	0.00298507462686567
"305"	"cd8.positive..alpha.beta.t.cell"	"memory.b.cell"	0.00284090909090909
"563"	"respiratory.goblet.cell"	"nk.cell"	0.00281954887218045
"398"	"intermediate.monocyte"	"myeloid.progenitor"	0.00277520814061055
"404"	"neutrophil"	"myeloid.progenitor"	0.00277315585135885
"195"	"b.cell"	"granulocyte"	0.0027359781121751
"197"	"basophil"	"granulocyte"	0.00272851296043656
"545"	"club.cell"	"nk.cell"	0.0026525198938992
"56"	"intermediate.monocyte"	"cd8.positive..alpha.beta.t.cell"	0.0026281208935611
"145"	"respiratory.goblet.cell"	"erythrocyte"	0.00261437908496732
"372"	"pulmonary.ionocyte"	"monocyte"	0.00257953568357696
"449"	"respiratory.goblet.cell"	"naive.b.cell"	0.00255102040816327
"271"	"b.cell"	"macrophage"	0.00248138957816377
"478"	"mesothelial.cell"	"nampt.neutrophil"	0.00239425379090184
"335"	"respiratory.goblet.cell"	"memory.b.cell"	0.0022883295194508
"66"	"plasma.cell"	"cd8.positive..alpha.beta.t.cell"	0.00226757369614512
"38"	"vein.endothelial.cell"	"cd4.positive..alpha.beta.t.cell"	0.00221238938053097
"324"	"lung.microvascular.endothelial.cell"	"memory.b.cell"	0.00216919739696312
"560"	"plasma.cell"	"nk.cell"	0.0021551724137931
"214"	"neutrophil"	"granulocyte"	0.00201207243460765
"317"	"club.cell"	"memory.b.cell"	0.00198412698412698
"590"	"lung.microvascular.endothelial.cell"	"plasma.cell"	0.00197628458498024
"344"	"cd4.positive..alpha.beta.t.cell"	"monocyte"	0.00193423597678917
"608"	"vein.endothelial.cell"	"plasma.cell"	0.00190839694656489
"310"	"basal.cell"	"memory.b.cell"	0.00182481751824818
"595"	"nk.cell"	"plasma.cell"	0.00176159718144451
"461"	"b.cell"	"nampt.neutrophil"	0.00173460537727667
"164"	"classical.monocyte"	"erythroid.progenitor"	0.00172711571675302
"572"	"cd4.positive..alpha.beta.t.cell"	"plasma.cell"	0.00169491525423729
"76"	"vein.endothelial.cell"	"cd8.positive..alpha.beta.t.cell"	0.00161290322580645
"374"	"respiratory.mucous.cell"	"monocyte"	0.00159744408945687
"32"	"respiratory.mucous.cell"	"cd4.positive..alpha.beta.t.cell"	0.00159489633173844
"176"	"neutrophil"	"erythroid.progenitor"	0.00157397691500525
"51"	"club.cell"	"cd8.positive..alpha.beta.t.cell"	0.00155038759689922
"497"	"adventitial.cell"	"neutrophil"	0.00154440154440154
"336"	"respiratory.mucous.cell"	"memory.b.cell"	0.00152905198776758
"24"	"neutrophil"	"cd4.positive..alpha.beta.t.cell"	0.00151860288534548
"326"	"mesothelial.cell"	"memory.b.cell"	0.00145985401459854
"44"	"basal.cell"	"cd8.positive..alpha.beta.t.cell"	0.00145137880986938
"594"	"neutrophil"	"plasma.cell"	0.00143988480921526
"307"	"adventitial.cell"	"memory.b.cell"	0.00137931034482759
"50"	"classical.monocyte"	"cd8.positive..alpha.beta.t.cell"	0.00135685210312076
"268"	"cd4.positive..alpha.beta.t.cell"	"macrophage"	0.00130208333333333
"272"	"basal.cell"	"macrophage"	0.0012970168612192
"74"	"type.ii.pneumocyte"	"cd8.positive..alpha.beta.t.cell"	0.00128865979381443
"574"	"alveolar.fibroblast"	"plasma.cell"	0.00127551020408163
"240"	"classical.monocyte"	"hematopoietic.stem.cell"	0.00113378684807256
"267"	"cd8.positive..alpha.beta.t.cell"	"macrophage"	0.00107758620689655
"146"	"respiratory.mucous.cell"	"erythrocyte"	0.00101729399796541
"154"	"cd4.positive..alpha.beta.t.cell"	"erythroid.progenitor"	0.000902527075812274
"328"	"neutrophil"	"memory.b.cell"	0.000743494423791822
"252"	"neutrophil"	"hematopoietic.stem.cell"	0.000613120784794605
"367"	"nk.cell"	"monocyte"	0.000612745098039216
"12"	"classical.monocyte"	"cd4.positive..alpha.beta.t.cell"	0
"18"	"intermediate.monocyte"	"cd4.positive..alpha.beta.t.cell"	0
"26"	"non.classical.monocyte"	"cd4.positive..alpha.beta.t.cell"	0
"104"	"plasma.cell"	"cd24.neutrophil"	0
"178"	"non.classical.monocyte"	"erythroid.progenitor"	0
"180"	"plasma.cell"	"erythroid.progenitor"	0
"192"	"cd4.positive..alpha.beta.t.cell"	"granulocyte"	0
"218"	"plasma.cell"	"granulocyte"	0
"294"	"plasma.cell"	"macrophage"	0
"297"	"respiratory.goblet.cell"	"macrophage"	0
"342"	"vein.endothelial.cell"	"memory.b.cell"	0
"343"	"cd8.positive..alpha.beta.t.cell"	"monocyte"	0
"347"	"b.cell"	"monocyte"	0
"348"	"basal.cell"	"monocyte"	0
"370"	"plasma.cell"	"monocyte"	0
"373"	"respiratory.goblet.cell"	"monocyte"	0
"375"	"serous.cell.of.epithelium.of.bronchus"	"monocyte"	0
"408"	"plasma.cell"	"myeloid.progenitor"	0
"484"	"plasma.cell"	"nampt.neutrophil"	0
"522"	"plasma.cell"	"neutrophil"	0
"582"	"classical.monocyte"	"plasma.cell"	0
"583"	"club.cell"	"plasma.cell"	0
"588"	"intermediate.monocyte"	"plasma.cell"	0
"596"	"non.classical.monocyte"	"plasma.cell"	0
