"Lung"	"Skeletal muscle"	"value"
"330"	"non.classical.monocyte"	"macrophage"	0.222222222222222
"129"	"endothelial.cell.of.artery"	"endothelial.cell.of.artery"	0.212655601659751
"11"	"capillary.endothelial.cell"	"capillary.endothelial.cell"	0.206627680311891
"210"	"lung.microvascular.endothelial.cell"	"endothelial.cell.of.vascular.tree"	0.201754385964912
"616"	"bronchial.smooth.muscle.cell"	"smooth.muscle.cell"	0.200361010830325
"405"	"nk.cell"	"mature.nk.t.cell"	0.184691358024691
"687"	"adventitial.cell"	"tendon.cell"	0.17964824120603
"228"	"vein.endothelial.cell"	"endothelial.cell.of.vascular.tree"	0.177554438860972
"421"	"adventitial.cell"	"mesenchymal.stem.cell"	0.173690932311622
"322"	"intermediate.monocyte"	"macrophage"	0.166385135135135
"10"	"capillary.aerocyte"	"capillary.endothelial.cell"	0.164662349676226
"328"	"neutrophil"	"macrophage"	0.163626312880044
"349"	"basophil"	"mast.cell"	0.163502109704641
"422"	"alveolar.fibroblast"	"mesenchymal.stem.cell"	0.163341645885287
"316"	"classical.monocyte"	"macrophage"	0.160958904109589
"478"	"mesothelial.cell"	"mesothelial.cell"	0.157293497363796
"40"	"cd4.positive..alpha.beta.t.cell"	"cd4.positive..alpha.beta.t.cell"	0.152610441767068
"168"	"endothelial.cell.of.lymphatic.vessel"	"endothelial.cell.of.lymphatic.vessel"	0.147420147420147
"15"	"endothelial.cell.of.artery"	"capillary.endothelial.cell"	0.14431934493347
"688"	"alveolar.fibroblast"	"tendon.cell"	0.141317365269461
"648"	"cd4.positive..alpha.beta.t.cell"	"t.cell"	0.140722291407223
"381"	"cd8.positive..alpha.beta.t.cell"	"mature.nk.t.cell"	0.135220125786164
"531"	"vascular.associated.smooth.muscle.cell"	"pericyte.cell"	0.132420091324201
"647"	"cd8.positive..alpha.beta.t.cell"	"t.cell"	0.12906610703043
"645"	"vascular.associated.smooth.muscle.cell"	"smooth.muscle.cell"	0.128205128205128
"325"	"macrophage"	"macrophage"	0.121654501216545
"521"	"pericyte.cell"	"pericyte.cell"	0.116809116809117
"78"	"cd4.positive..alpha.beta.t.cell"	"cd8.positive..alpha.beta.t.cell"	0.115191986644407
"125"	"capillary.endothelial.cell"	"endothelial.cell.of.artery"	0.112165660051769
"199"	"bronchial.vessel.endothelial.cell"	"endothelial.cell.of.vascular.tree"	0.106639839034205
"671"	"nk.cell"	"t.cell"	0.104404567699837
"77"	"cd8.positive..alpha.beta.t.cell"	"cd8.positive..alpha.beta.t.cell"	0.101063829787234
"635"	"pericyte.cell"	"smooth.muscle.cell"	0.0896646132785763
"604"	"smooth.muscle.cell"	"slow.muscle.cell"	0.0884177869700103
"39"	"cd8.positive..alpha.beta.t.cell"	"cd4.positive..alpha.beta.t.cell"	0.0874074074074074
"600"	"pulmonary.ionocyte"	"slow.muscle.cell"	0.0864074443336657
"38"	"vein.endothelial.cell"	"capillary.endothelial.cell"	0.0837628865979381
"152"	"vein.endothelial.cell"	"endothelial.cell.of.artery"	0.0825242718446602
"318"	"dendritic.cell"	"macrophage"	0.0794044665012407
"124"	"capillary.aerocyte"	"endothelial.cell.of.artery"	0.0790774299835255
"502"	"bronchial.smooth.muscle.cell"	"pericyte.cell"	0.0778301886792453
"296"	"pulmonary.ionocyte"	"fast.muscle.cell"	0.0734240687679083
"300"	"smooth.muscle.cell"	"fast.muscle.cell"	0.0725570509069631
"409"	"plasmacytoid.dendritic.cell"	"mature.nk.t.cell"	0.0660051768766178
"201"	"capillary.endothelial.cell"	"endothelial.cell.of.vascular.tree"	0.0658914728682171
"134"	"lung.microvascular.endothelial.cell"	"endothelial.cell.of.artery"	0.0632603406326034
"101"	"nk.cell"	"cd8.positive..alpha.beta.t.cell"	0.0613095238095238
"491"	"type.i.pneumocyte"	"mesothelial.cell"	0.0580224985198342
"205"	"endothelial.cell.of.artery"	"endothelial.cell.of.vascular.tree"	0.0571736785329018
"541"	"bronchial.vessel.endothelial.cell"	"skeletal.muscle.satellite.stem.cell"	0.0546341463414634
"670"	"neutrophil"	"t.cell"	0.052760736196319
"20"	"lung.microvascular.endothelial.cell"	"capillary.endothelial.cell"	0.0510855683269476
"274"	"bronchial.smooth.muscle.cell"	"fast.muscle.cell"	0.0501792114695341
"642"	"smooth.muscle.cell"	"smooth.muscle.cell"	0.0494437577255871
"566"	"smooth.muscle.cell"	"skeletal.muscle.satellite.stem.cell"	0.048689138576779
"366"	"neutrophil"	"mast.cell"	0.0478334271243669
"578"	"bronchial.smooth.muscle.cell"	"slow.muscle.cell"	0.0476477683956574
"404"	"neutrophil"	"mature.nk.t.cell"	0.0467101958814666
"721"	"vascular.associated.smooth.muscle.cell"	"tendon.cell"	0.0448179271708683
"599"	"plasmacytoid.dendritic.cell"	"slow.muscle.cell"	0.0446816923685251
"333"	"plasmacytoid.dendritic.cell"	"macrophage"	0.0444258172673931
"475"	"lung.ciliated.cell"	"mesothelial.cell"	0.044181459566075
"435"	"fibroblast"	"mesenchymal.stem.cell"	0.0441292356185973
"536"	"alveolar.fibroblast"	"skeletal.muscle.satellite.stem.cell"	0.0430939226519337
"356"	"dendritic.cell"	"mast.cell"	0.0411764705882353
"9"	"bronchial.vessel.endothelial.cell"	"capillary.endothelial.cell"	0.0403361344537815
"492"	"type.ii.pneumocyte"	"mesothelial.cell"	0.0393765381460213
"162"	"capillary.aerocyte"	"endothelial.cell.of.lymphatic.vessel"	0.0392156862745098
"459"	"adventitial.cell"	"mesothelial.cell"	0.0390505359877489
"593"	"myofibroblast.cell"	"slow.muscle.cell"	0.0389294403892944
"445"	"pericyte.cell"	"mesenchymal.stem.cell"	0.0388663967611336
"579"	"bronchial.vessel.endothelial.cell"	"slow.muscle.cell"	0.0383720930232558
"486"	"pulmonary.ionocyte"	"mesothelial.cell"	0.0381811870878167
"455"	"vascular.associated.smooth.muscle.cell"	"mesenchymal.stem.cell"	0.0377714825306893
"16"	"endothelial.cell.of.lymphatic.vessel"	"capillary.endothelial.cell"	0.0374720357941834
"163"	"capillary.endothelial.cell"	"endothelial.cell.of.lymphatic.vessel"	0.0373134328358209
"123"	"bronchial.vessel.endothelial.cell"	"endothelial.cell.of.artery"	0.0370072405470636
"479"	"myofibroblast.cell"	"mesothelial.cell"	0.0363149847094801
"586"	"endothelial.cell.of.lymphatic.vessel"	"slow.muscle.cell"	0.036222509702458
"200"	"capillary.aerocyte"	"endothelial.cell.of.vascular.tree"	0.0350877192982456
"382"	"cd4.positive..alpha.beta.t.cell"	"mature.nk.t.cell"	0.0346494762288477
"638"	"pulmonary.ionocyte"	"smooth.muscle.cell"	0.0339595375722543
"371"	"plasmacytoid.dendritic.cell"	"mast.cell"	0.0335477941176471
"295"	"plasmacytoid.dendritic.cell"	"fast.muscle.cell"	0.033129904097646
"589"	"lung.ciliated.cell"	"slow.muscle.cell"	0.0328389830508475
"701"	"fibroblast"	"tendon.cell"	0.0320834943950522
"359"	"fibroblast"	"mast.cell"	0.0319333564734467
"410"	"pulmonary.ionocyte"	"mature.nk.t.cell"	0.0316350316350316
"718"	"smooth.muscle.cell"	"tendon.cell"	0.0314787701317716
"206"	"endothelial.cell.of.lymphatic.vessel"	"endothelial.cell.of.vascular.tree"	0.0312312312312312
"372"	"pulmonary.ionocyte"	"mast.cell"	0.0311939763356042
"285"	"lung.ciliated.cell"	"fast.muscle.cell"	0.0310921103769918
"149"	"type.i.pneumocyte"	"endothelial.cell.of.artery"	0.0309007232084155
"367"	"nk.cell"	"mast.cell"	0.0307765151515152
"607"	"vascular.associated.smooth.muscle.cell"	"slow.muscle.cell"	0.030664395229983
"675"	"plasmacytoid.dendritic.cell"	"t.cell"	0.0303772660460559
"43"	"b.cell"	"cd4.positive..alpha.beta.t.cell"	0.0302521008403361
"81"	"b.cell"	"cd8.positive..alpha.beta.t.cell"	0.0291120815138282
"131"	"fibroblast"	"endothelial.cell.of.artery"	0.0290530846484935
"587"	"fibroblast"	"slow.muscle.cell"	0.0290431060837664
"190"	"vein.endothelial.cell"	"endothelial.cell.of.lymphatic.vessel"	0.0289156626506024
"363"	"macrophage"	"mast.cell"	0.0288808664259928
"485"	"plasmacytoid.dendritic.cell"	"mesothelial.cell"	0.0287206266318538
"303"	"vascular.associated.smooth.muscle.cell"	"fast.muscle.cell"	0.0286666666666667
"631"	"myofibroblast.cell"	"smooth.muscle.cell"	0.0282755874153724
"365"	"myofibroblast.cell"	"mast.cell"	0.0281188118811881
"397"	"fibroblast"	"mature.nk.t.cell"	0.027992277992278
"625"	"fibroblast"	"smooth.muscle.cell"	0.0277874261896492
"35"	"type.i.pneumocyte"	"capillary.endothelial.cell"	0.0277777777777778
"187"	"type.i.pneumocyte"	"endothelial.cell.of.lymphatic.vessel"	0.0275352585627938
"624"	"endothelial.cell.of.lymphatic.vessel"	"smooth.muscle.cell"	0.0272774060730829
"651"	"b.cell"	"t.cell"	0.0268817204301075
"169"	"fibroblast"	"endothelial.cell.of.lymphatic.vessel"	0.0264684554024656
"528"	"smooth.muscle.cell"	"pericyte.cell"	0.0264211369095276
"403"	"myofibroblast.cell"	"mature.nk.t.cell"	0.0262199563000728
"460"	"alveolar.fibroblast"	"mesothelial.cell"	0.0261976047904192
"472"	"endothelial.cell.of.lymphatic.vessel"	"mesothelial.cell"	0.0260743602124578
"545"	"club.cell"	"skeletal.muscle.satellite.stem.cell"	0.0260492040520984
"538"	"basal.cell"	"skeletal.muscle.satellite.stem.cell"	0.0258855585831063
"605"	"type.i.pneumocyte"	"slow.muscle.cell"	0.0258320914058619
"301"	"type.i.pneumocyte"	"fast.muscle.cell"	0.0257437070938215
"289"	"myofibroblast.cell"	"fast.muscle.cell"	0.0256700641751604
"182"	"pulmonary.ionocyte"	"endothelial.cell.of.lymphatic.vessel"	0.0255063765941485
"63"	"nk.cell"	"cd4.positive..alpha.beta.t.cell"	0.0255009107468124
"105"	"plasmacytoid.dendritic.cell"	"cd8.positive..alpha.beta.t.cell"	0.025428413488115
"167"	"endothelial.cell.of.artery"	"endothelial.cell.of.lymphatic.vessel"	0.0253853127833182
"473"	"fibroblast"	"mesothelial.cell"	0.0252324037184595
"398"	"intermediate.monocyte"	"mature.nk.t.cell"	0.0248681235870384
"490"	"smooth.muscle.cell"	"mesothelial.cell"	0.0246775098149187
"669"	"myofibroblast.cell"	"t.cell"	0.0246758678377248
"179"	"pericyte.cell"	"endothelial.cell.of.lymphatic.vessel"	0.0244926522043387
"358"	"endothelial.cell.of.lymphatic.vessel"	"mast.cell"	0.0244648318042813
"414"	"smooth.muscle.cell"	"mature.nk.t.cell"	0.024364406779661
"275"	"bronchial.vessel.endothelial.cell"	"fast.muscle.cell"	0.0243572395128552
"469"	"club.cell"	"mesothelial.cell"	0.024346257889991
"462"	"basal.cell"	"mesothelial.cell"	0.0243055555555556
"663"	"fibroblast"	"t.cell"	0.0242753623188406
"717"	"serous.cell.of.epithelium.of.bronchus"	"tendon.cell"	0.0242718446601942
"535"	"adventitial.cell"	"skeletal.muscle.satellite.stem.cell"	0.0242290748898678
"555"	"myofibroblast.cell"	"skeletal.muscle.satellite.stem.cell"	0.0242152466367713
"27"	"pericyte.cell"	"capillary.endothelial.cell"	0.0239943542695836
"612"	"alveolar.fibroblast"	"smooth.muscle.cell"	0.0239076669414674
"707"	"myofibroblast.cell"	"tendon.cell"	0.0236607142857143
"130"	"endothelial.cell.of.lymphatic.vessel"	"endothelial.cell.of.artery"	0.0236305048335124
"627"	"lung.ciliated.cell"	"smooth.muscle.cell"	0.0235772357723577
"361"	"lung.ciliated.cell"	"mast.cell"	0.0234438156831043
"299"	"serous.cell.of.epithelium.of.bronchus"	"fast.muscle.cell"	0.0234059725585149
"592"	"mesothelial.cell"	"slow.muscle.cell"	0.0230917254650417
"488"	"respiratory.mucous.cell"	"mesothelial.cell"	0.0230708035003978
"549"	"fibroblast"	"skeletal.muscle.satellite.stem.cell"	0.0230680507497117
"465"	"bronchial.vessel.endothelial.cell"	"mesothelial.cell"	0.0230664857530529
"282"	"endothelial.cell.of.lymphatic.vessel"	"fast.muscle.cell"	0.0230436869899184
"100"	"neutrophil"	"cd8.positive..alpha.beta.t.cell"	0.0229965156794425
"392"	"classical.monocyte"	"mature.nk.t.cell"	0.0229885057471264
"161"	"bronchial.vessel.endothelial.cell"	"endothelial.cell.of.lymphatic.vessel"	0.0228945216680294
"643"	"type.i.pneumocyte"	"smooth.muscle.cell"	0.0228254164096237
"283"	"fibroblast"	"fast.muscle.cell"	0.0228099173553719
"453"	"type.i.pneumocyte"	"mesenchymal.stem.cell"	0.021969696969697
"171"	"lung.ciliated.cell"	"endothelial.cell.of.lymphatic.vessel"	0.0218041898247114
"141"	"pericyte.cell"	"endothelial.cell.of.artery"	0.0217687074829932
"320"	"endothelial.cell.of.lymphatic.vessel"	"macrophage"	0.0217687074829932
"334"	"pulmonary.ionocyte"	"macrophage"	0.0216180805764821
"224"	"smooth.muscle.cell"	"endothelial.cell.of.vascular.tree"	0.0215982721382289
"692"	"bronchial.smooth.muscle.cell"	"tendon.cell"	0.0215897939156035
"711"	"pericyte.cell"	"tendon.cell"	0.0211598746081505
"396"	"endothelial.cell.of.lymphatic.vessel"	"mature.nk.t.cell"	0.0210430009149131
"138"	"neutrophil"	"endothelial.cell.of.artery"	0.0209059233449477
"175"	"myofibroblast.cell"	"endothelial.cell.of.lymphatic.vessel"	0.0207986688851913
"394"	"dendritic.cell"	"mature.nk.t.cell"	0.0206677265500795
"554"	"mesothelial.cell"	"skeletal.muscle.satellite.stem.cell"	0.0206422018348624
"719"	"type.i.pneumocyte"	"tendon.cell"	0.0201192250372578
"302"	"type.ii.pneumocyte"	"fast.muscle.cell"	0.0200320512820513
"426"	"bronchial.smooth.muscle.cell"	"mesenchymal.stem.cell"	0.01998001998002
"17"	"fibroblast"	"capillary.endothelial.cell"	0.0199058993847267
"441"	"myofibroblast.cell"	"mesenchymal.stem.cell"	0.0197397936294302
"385"	"b.cell"	"mature.nk.t.cell"	0.0192604006163328
"637"	"plasmacytoid.dendritic.cell"	"smooth.muscle.cell"	0.0191518467852257
"700"	"endothelial.cell.of.lymphatic.vessel"	"tendon.cell"	0.0191044776119403
"559"	"pericyte.cell"	"skeletal.muscle.satellite.stem.cell"	0.0188976377952756
"576"	"basal.cell"	"slow.muscle.cell"	0.0188679245283019
"214"	"neutrophil"	"endothelial.cell.of.vascular.tree"	0.0188311688311688
"690"	"basal.cell"	"tendon.cell"	0.018716577540107
"676"	"pulmonary.ionocyte"	"t.cell"	0.0186567164179104
"204"	"dendritic.cell"	"endothelial.cell.of.vascular.tree"	0.0185430463576159
"67"	"plasmacytoid.dendritic.cell"	"cd4.positive..alpha.beta.t.cell"	0.0185078079814922
"347"	"b.cell"	"mast.cell"	0.0185013876040703
"498"	"alveolar.fibroblast"	"pericyte.cell"	0.0184956843403206
"606"	"type.ii.pneumocyte"	"slow.muscle.cell"	0.018457481872116
"156"	"alveolar.fibroblast"	"endothelial.cell.of.lymphatic.vessel"	0.0182815356489945
"311"	"basophil"	"macrophage"	0.0181543116490166
"278"	"classical.monocyte"	"fast.muscle.cell"	0.0181518151815182
"464"	"bronchial.smooth.muscle.cell"	"mesothelial.cell"	0.0181437543614794
"706"	"mesothelial.cell"	"tendon.cell"	0.0181200453001133
"272"	"basal.cell"	"fast.muscle.cell"	0.0180257510729614
"662"	"endothelial.cell.of.lymphatic.vessel"	"t.cell"	0.0180229382850901
"489"	"serous.cell.of.epithelium.of.bronchus"	"mesothelial.cell"	0.017741935483871
"321"	"fibroblast"	"macrophage"	0.0177215189873418
"288"	"mesothelial.cell"	"fast.muscle.cell"	0.0176923076923077
"377"	"type.i.pneumocyte"	"mast.cell"	0.0176506390748631
"133"	"lung.ciliated.cell"	"endothelial.cell.of.artery"	0.0176026823134954
"461"	"b.cell"	"mesothelial.cell"	0.0175732217573222
"673"	"pericyte.cell"	"t.cell"	0.0174216027874564
"144"	"pulmonary.ionocyte"	"endothelial.cell.of.artery"	0.0172477064220183
"493"	"vascular.associated.smooth.muscle.cell"	"mesothelial.cell"	0.0172071475843812
"176"	"neutrophil"	"endothelial.cell.of.lymphatic.vessel"	0.0171496156120639
"188"	"type.ii.pneumocyte"	"endothelial.cell.of.lymphatic.vessel"	0.0171198388721047
"339"	"type.i.pneumocyte"	"macrophage"	0.0169941582580988
"480"	"neutrophil"	"mesothelial.cell"	0.0169753086419753
"597"	"pericyte.cell"	"slow.muscle.cell"	0.0167853509664293
"378"	"type.ii.pneumocyte"	"mast.cell"	0.0167696381288614
"660"	"dendritic.cell"	"t.cell"	0.0166481687014428
"415"	"type.i.pneumocyte"	"mature.nk.t.cell"	0.0166398282340311
"376"	"smooth.muscle.cell"	"mast.cell"	0.0166270783847981
"327"	"myofibroblast.cell"	"macrophage"	0.0164697457930541
"369"	"pericyte.cell"	"mast.cell"	0.0164556962025316
"594"	"neutrophil"	"slow.muscle.cell"	0.0162235241099594
"165"	"club.cell"	"endothelial.cell.of.lymphatic.vessel"	0.0161849710982659
"665"	"lung.ciliated.cell"	"t.cell"	0.0161839863713799
"340"	"type.ii.pneumocyte"	"macrophage"	0.0160233066278223
"618"	"capillary.aerocyte"	"smooth.muscle.cell"	0.0159651669085631
"483"	"pericyte.cell"	"mesothelial.cell"	0.0159386068476978
"562"	"pulmonary.ionocyte"	"skeletal.muscle.satellite.stem.cell"	0.0158478605388273
"603"	"serous.cell.of.epithelium.of.bronchus"	"slow.muscle.cell"	0.0158311345646438
"714"	"pulmonary.ionocyte"	"tendon.cell"	0.0157915515199368
"611"	"adventitial.cell"	"smooth.muscle.cell"	0.0157154673283706
"569"	"vascular.associated.smooth.muscle.cell"	"skeletal.muscle.satellite.stem.cell"	0.0155535224153705
"88"	"classical.monocyte"	"cd8.positive..alpha.beta.t.cell"	0.0155367231638418
"354"	"classical.monocyte"	"mast.cell"	0.0155109489051095
"582"	"classical.monocyte"	"slow.muscle.cell"	0.0155091031692515
"127"	"club.cell"	"endothelial.cell.of.artery"	0.0155038759689922
"24"	"neutrophil"	"capillary.endothelial.cell"	0.0154669839381321
"21"	"macrophage"	"capillary.endothelial.cell"	0.0154639175257732
"614"	"basal.cell"	"smooth.muscle.cell"	0.0154589371980676
"510"	"endothelial.cell.of.lymphatic.vessel"	"pericyte.cell"	0.0154241645244216
"681"	"type.i.pneumocyte"	"t.cell"	0.0153027278775782
"146"	"respiratory.mucous.cell"	"endothelial.cell.of.artery"	0.0152235965746908
"487"	"respiratory.goblet.cell"	"mesothelial.cell"	0.0151946818613485
"440"	"mesothelial.cell"	"mesenchymal.stem.cell"	0.0150115473441109
"118"	"alveolar.fibroblast"	"endothelial.cell.of.artery"	0.0149779735682819
"269"	"adventitial.cell"	"fast.muscle.cell"	0.0148920327624721
"428"	"capillary.aerocyte"	"mesenchymal.stem.cell"	0.0148837209302326
"155"	"adventitial.cell"	"endothelial.cell.of.lymphatic.vessel"	0.014760147601476
