"Spleen"	"Bone marrow"	"value"
"24"	"type.i.nk.t.cell"	"cd4.positive..alpha.beta.t.cell"	0.0051150895140665
"148"	"cd8.positive..alpha.beta.t.cell"	"hematopoietic.stem.cell"	0.00504731861198738
"92"	"plasma.cell"	"erythrocyte"	0.00504413619167718
"67"	"nk.cell"	"cd24.neutrophil"	0.00495049504950495
"119"	"regulatory.t.cell"	"erythroid.progenitor"	0.00493583415597236
"311"	"regulatory.t.cell"	"nampt.neutrophil"	0.00490196078431373
"56"	"erythrocyte"	"cd24.neutrophil"	0.00489236790606654
"88"	"naive.thymus.derived.cd4.positive..alpha.beta.t.cell"	"erythrocyte"	0.00484652665589661
"292"	"cd8.positive..alpha.beta.t.cell"	"nampt.neutrophil"	0.00481798715203426
"354"	"neutrophil"	"nk.cell"	0.00474934036939314
"40"	"naive.thymus.derived.cd4.positive..alpha.beta.t.cell"	"cd8.positive..alpha.beta.t.cell"	0.00462962962962963
"382"	"platelet"	"plasma.cell"	0.00458978772231784
"264"	"type.i.nk.t.cell"	"myeloid.progenitor"	0.00455580865603645
"12"	"macrophage"	"cd4.positive..alpha.beta.t.cell"	0.00452488687782805
"191"	"regulatory.t.cell"	"macrophage"	0.00444444444444444
"367"	"endothelial.cell"	"plasma.cell"	0.00442477876106195
"270"	"classical.monocyte"	"naive.b.cell"	0.00441988950276243
"91"	"nk.cell"	"erythrocyte"	0.0044004400440044
"130"	"innate.lymphoid.cell"	"granulocyte"	0.0044004400440044
"89"	"naive.thymus.derived.cd8.positive..alpha.beta.t.cell"	"erythrocyte"	0.0042674253200569
"329"	"naive.thymus.derived.cd8.positive..alpha.beta.t.cell"	"neutrophil"	0.00423728813559322
"195"	"cd8.positive..alpha.beta.memory.t.cell"	"memory.b.cell"	0.00413223140495868
"5"	"cd141.positive.myeloid.dendritic.cell"	"cd4.positive..alpha.beta.t.cell"	0.00412371134020619
"226"	"innate.lymphoid.cell"	"monocyte"	0.00408719346049046
"234"	"neutrophil"	"monocyte"	0.00402576489533011
"383"	"regulatory.t.cell"	"plasma.cell"	0.00401606425702811
"95"	"regulatory.t.cell"	"erythrocyte"	0.00384122919334187
"259"	"nk.cell"	"myeloid.progenitor"	0.00383877159309021
"177"	"hematopoietic.stem.cell"	"macrophage"	0.00380807311500381
"1"	"cd1c.positive.myeloid.dendritic.cell"	"cd4.positive..alpha.beta.t.cell"	0.0037593984962406
"187"	"nk.cell"	"macrophage"	0.00373134328358209
"317"	"cd141.positive.myeloid.dendritic.cell"	"neutrophil"	0.00370027752081406
"327"	"naive.b.cell"	"neutrophil"	0.003690036900369
"290"	"cd4.positive..alpha.beta.memory.t.cell"	"nampt.neutrophil"	0.00361881785283474
"198"	"classical.monocyte"	"memory.b.cell"	0.0035778175313059
"150"	"classical.monocyte"	"hematopoietic.stem.cell"	0.00355450236966825
"341"	"cd141.positive.myeloid.dendritic.cell"	"nk.cell"	0.00351185250219491
"363"	"cd8.positive..alpha.beta.memory.t.cell"	"plasma.cell"	0.00348432055749129
"253"	"mature.nk.t.cell"	"myeloid.progenitor"	0.00341685649202733
"71"	"regulatory.t.cell"	"cd24.neutrophil"	0.00339750849377123
"74"	"cd4.positive..alpha.beta.memory.t.cell"	"erythrocyte"	0.0033955857385399
"362"	"cd4.positive..alpha.beta.memory.t.cell"	"plasma.cell"	0.00326797385620915
"110"	"memory.b.cell"	"erythroid.progenitor"	0.00324324324324324
"283"	"nk.cell"	"naive.b.cell"	0.00322927879440258
"196"	"cd8.positive..alpha.beta.t.cell"	"memory.b.cell"	0.00306983883346124
"76"	"cd8.positive..alpha.beta.t.cell"	"erythrocyte"	0.00306560392397302
"29"	"cd141.positive.myeloid.dendritic.cell"	"cd8.positive..alpha.beta.t.cell"	0.00306278713629403
"39"	"naive.b.cell"	"cd8.positive..alpha.beta.t.cell"	0.00304878048780488
"336"	"type.i.nk.t.cell"	"neutrophil"	0.00303643724696356
"297"	"hematopoietic.stem.cell"	"nampt.neutrophil"	0.00301204819277108
"22"	"platelet"	"cd4.positive..alpha.beta.t.cell"	0.0029868578255675
"157"	"mature.nk.t.cell"	"hematopoietic.stem.cell"	0.00284495021337127
"42"	"neutrophil"	"cd8.positive..alpha.beta.t.cell"	0.0028328611898017
"85"	"mature.nk.t.cell"	"erythrocyte"	0.00268096514745308
"209"	"naive.thymus.derived.cd8.positive..alpha.beta.t.cell"	"memory.b.cell"	0.00265957446808511
"256"	"naive.thymus.derived.cd4.positive..alpha.beta.t.cell"	"myeloid.progenitor"	0.00265604249667995
"351"	"naive.b.cell"	"nk.cell"	0.0026246719160105
"227"	"intermediate.monocyte"	"monocyte"	0.00258397932816537
"229"	"mature.nk.t.cell"	"monocyte"	0.00256410256410256
"240"	"type.i.nk.t.cell"	"monocyte"	0.00255754475703325
"337"	"cd1c.positive.myeloid.dendritic.cell"	"nk.cell"	0.0025273799494524
"370"	"innate.lymphoid.cell"	"plasma.cell"	0.00247524752475248
"237"	"plasmacytoid.dendritic.cell"	"monocyte"	0.00240673886883273
"314"	"cd4.positive..alpha.beta.memory.t.cell"	"neutrophil"	0.00240673886883273
"216"	"type.i.nk.t.cell"	"memory.b.cell"	0.00238663484486874
"72"	"type.i.nk.t.cell"	"cd24.neutrophil"	0.00235571260306243
"239"	"regulatory.t.cell"	"monocyte"	0.00234741784037559
"52"	"cd8.positive..alpha.beta.t.cell"	"cd24.neutrophil"	0.00230680507497117
"73"	"cd1c.positive.myeloid.dendritic.cell"	"erythrocyte"	0.00225225225225225
"384"	"type.i.nk.t.cell"	"plasma.cell"	0.0021551724137931
"120"	"type.i.nk.t.cell"	"erythroid.progenitor"	0.00203873598369011
"178"	"innate.lymphoid.cell"	"macrophage"	0.00202839756592292
"301"	"mature.nk.t.cell"	"nampt.neutrophil"	0.00202634245187437
"312"	"type.i.nk.t.cell"	"nampt.neutrophil"	0.00202429149797571
"38"	"memory.b.cell"	"cd8.positive..alpha.beta.t.cell"	0.00198019801980198
"134"	"memory.b.cell"	"granulocyte"	0.001953125
"332"	"plasma.cell"	"neutrophil"	0.00192864030858245
"162"	"neutrophil"	"hematopoietic.stem.cell"	0.00192554557124519
"111"	"naive.b.cell"	"erythroid.progenitor"	0.00185528756957328
"303"	"naive.b.cell"	"nampt.neutrophil"	0.00184331797235023
"155"	"intermediate.monocyte"	"hematopoietic.stem.cell"	0.00183823529411765
"146"	"cd4.positive..alpha.beta.memory.t.cell"	"hematopoietic.stem.cell"	0.00182815356489945
"356"	"plasma.cell"	"nk.cell"	0.00182648401826484
"289"	"cd1c.positive.myeloid.dendritic.cell"	"nampt.neutrophil"	0.00177147918511957
"313"	"cd1c.positive.myeloid.dendritic.cell"	"neutrophil"	0.00176991150442478
"275"	"intermediate.monocyte"	"naive.b.cell"	0.00173913043478261
"320"	"erythrocyte"	"neutrophil"	0.00171673819742489
"342"	"classical.monocyte"	"nk.cell"	0.00168350168350168
"200"	"erythrocyte"	"memory.b.cell"	0.00168067226890756
"185"	"naive.thymus.derived.cd8.positive..alpha.beta.t.cell"	"macrophage"	0.00166944908180301
"33"	"hematopoietic.stem.cell"	"cd8.positive..alpha.beta.t.cell"	0.00162074554294976
"379"	"nk.cell"	"plasma.cell"	0.00159235668789809
"210"	"neutrophil"	"memory.b.cell"	0.00157109190887667
"220"	"cd8.positive..alpha.beta.t.cell"	"monocyte"	0.00156617071260767
"280"	"naive.thymus.derived.cd4.positive..alpha.beta.t.cell"	"naive.b.cell"	0.0015625
"192"	"type.i.nk.t.cell"	"macrophage"	0.00155763239875389
"364"	"cd8.positive..alpha.beta.t.cell"	"plasma.cell"	0.00148148148148148
"107"	"intermediate.monocyte"	"erythroid.progenitor"	0.00146520146520147
"188"	"plasma.cell"	"macrophage"	0.00144927536231884
"25"	"cd1c.positive.myeloid.dendritic.cell"	"cd8.positive..alpha.beta.t.cell"	0.0014265335235378
"30"	"classical.monocyte"	"cd8.positive..alpha.beta.t.cell"	0.0014265335235378
"138"	"neutrophil"	"granulocyte"	0.00140745953553835
"347"	"intermediate.monocyte"	"nk.cell"	0.00139762403913347
"32"	"erythrocyte"	"cd8.positive..alpha.beta.t.cell"	0.00135869565217391
"183"	"naive.b.cell"	"macrophage"	0.0013531799729364
"96"	"type.i.nk.t.cell"	"erythrocyte"	0.00133689839572193
"164"	"plasma.cell"	"hematopoietic.stem.cell"	0.00132802124833997
"99"	"cd8.positive..alpha.beta.memory.t.cell"	"erythroid.progenitor"	0.00124223602484472
"257"	"naive.thymus.derived.cd8.positive..alpha.beta.t.cell"	"myeloid.progenitor"	0.00119331742243437
"304"	"naive.thymus.derived.cd4.positive..alpha.beta.t.cell"	"nampt.neutrophil"	0.00116009280742459
"328"	"naive.thymus.derived.cd4.positive..alpha.beta.t.cell"	"neutrophil"	0.00115874855156431
"152"	"erythrocyte"	"hematopoietic.stem.cell"	0.00113507377979569
"352"	"naive.thymus.derived.cd4.positive..alpha.beta.t.cell"	"nk.cell"	0.001085776330076
"326"	"memory.b.cell"	"neutrophil"	0.00106951871657754
"272"	"erythrocyte"	"naive.b.cell"	0.00106044538706257
"305"	"naive.thymus.derived.cd8.positive..alpha.beta.t.cell"	"nampt.neutrophil"	0.00105708245243129
"63"	"naive.b.cell"	"cd24.neutrophil"	0.00105596620908131
"109"	"mature.nk.t.cell"	"erythroid.progenitor"	0.00101936799184506
"308"	"plasma.cell"	"nampt.neutrophil"	0.000964320154291225
"201"	"hematopoietic.stem.cell"	"memory.b.cell"	0.000914076782449726
"102"	"classical.monocyte"	"erythroid.progenitor"	0.000890471950133571
"369"	"hematopoietic.stem.cell"	"plasma.cell"	0.000877963125548727
"115"	"nk.cell"	"erythroid.progenitor"	0.00087260034904014
"296"	"erythrocyte"	"nampt.neutrophil"	0.000858369098712446
"251"	"intermediate.monocyte"	"myeloid.progenitor"	0.000790513833992095
"258"	"neutrophil"	"myeloid.progenitor"	0.000576036866359447
"114"	"neutrophil"	"erythroid.progenitor"	0.000544365813826892
"6"	"classical.monocyte"	"cd4.positive..alpha.beta.t.cell"	0
"8"	"erythrocyte"	"cd4.positive..alpha.beta.t.cell"	0
"9"	"hematopoietic.stem.cell"	"cd4.positive..alpha.beta.t.cell"	0
"11"	"intermediate.monocyte"	"cd4.positive..alpha.beta.t.cell"	0
"14"	"memory.b.cell"	"cd4.positive..alpha.beta.t.cell"	0
"15"	"naive.b.cell"	"cd4.positive..alpha.beta.t.cell"	0
"18"	"neutrophil"	"cd4.positive..alpha.beta.t.cell"	0
"20"	"plasma.cell"	"cd4.positive..alpha.beta.t.cell"	0
"35"	"intermediate.monocyte"	"cd8.positive..alpha.beta.t.cell"	0
"44"	"plasma.cell"	"cd8.positive..alpha.beta.t.cell"	0
"50"	"cd4.positive..alpha.beta.memory.t.cell"	"cd24.neutrophil"	0
"51"	"cd8.positive..alpha.beta.memory.t.cell"	"cd24.neutrophil"	0
"62"	"memory.b.cell"	"cd24.neutrophil"	0
"64"	"naive.thymus.derived.cd4.positive..alpha.beta.t.cell"	"cd24.neutrophil"	0
"65"	"naive.thymus.derived.cd8.positive..alpha.beta.t.cell"	"cd24.neutrophil"	0
"75"	"cd8.positive..alpha.beta.memory.t.cell"	"erythrocyte"	0
"86"	"memory.b.cell"	"erythrocyte"	0
"98"	"cd4.positive..alpha.beta.memory.t.cell"	"erythroid.progenitor"	0
"112"	"naive.thymus.derived.cd4.positive..alpha.beta.t.cell"	"erythroid.progenitor"	0
"113"	"naive.thymus.derived.cd8.positive..alpha.beta.t.cell"	"erythroid.progenitor"	0
"122"	"cd4.positive..alpha.beta.memory.t.cell"	"granulocyte"	0
"123"	"cd8.positive..alpha.beta.memory.t.cell"	"granulocyte"	0
"133"	"mature.nk.t.cell"	"granulocyte"	0
"135"	"naive.b.cell"	"granulocyte"	0
"136"	"naive.thymus.derived.cd4.positive..alpha.beta.t.cell"	"granulocyte"	0
"137"	"naive.thymus.derived.cd8.positive..alpha.beta.t.cell"	"granulocyte"	0
"139"	"nk.cell"	"granulocyte"	0
"143"	"regulatory.t.cell"	"granulocyte"	0
"144"	"type.i.nk.t.cell"	"granulocyte"	0
"147"	"cd8.positive..alpha.beta.memory.t.cell"	"hematopoietic.stem.cell"	0
"161"	"naive.thymus.derived.cd8.positive..alpha.beta.t.cell"	"hematopoietic.stem.cell"	0
"168"	"type.i.nk.t.cell"	"hematopoietic.stem.cell"	0
"170"	"cd4.positive..alpha.beta.memory.t.cell"	"macrophage"	0
"171"	"cd8.positive..alpha.beta.memory.t.cell"	"macrophage"	0
"176"	"erythrocyte"	"macrophage"	0
"181"	"mature.nk.t.cell"	"macrophage"	0
"182"	"memory.b.cell"	"macrophage"	0
"184"	"naive.thymus.derived.cd4.positive..alpha.beta.t.cell"	"macrophage"	0
"194"	"cd4.positive..alpha.beta.memory.t.cell"	"memory.b.cell"	0
"203"	"intermediate.monocyte"	"memory.b.cell"	0
"205"	"mature.nk.t.cell"	"memory.b.cell"	0
"208"	"naive.thymus.derived.cd4.positive..alpha.beta.t.cell"	"memory.b.cell"	0
"218"	"cd4.positive..alpha.beta.memory.t.cell"	"monocyte"	0
"219"	"cd8.positive..alpha.beta.memory.t.cell"	"monocyte"	0
"224"	"erythrocyte"	"monocyte"	0
"230"	"memory.b.cell"	"monocyte"	0
"231"	"naive.b.cell"	"monocyte"	0
"232"	"naive.thymus.derived.cd4.positive..alpha.beta.t.cell"	"monocyte"	0
"233"	"naive.thymus.derived.cd8.positive..alpha.beta.t.cell"	"monocyte"	0
"235"	"nk.cell"	"monocyte"	0
"236"	"plasma.cell"	"monocyte"	0
"242"	"cd4.positive..alpha.beta.memory.t.cell"	"myeloid.progenitor"	0
"243"	"cd8.positive..alpha.beta.memory.t.cell"	"myeloid.progenitor"	0
"248"	"erythrocyte"	"myeloid.progenitor"	0
"266"	"cd4.positive..alpha.beta.memory.t.cell"	"naive.b.cell"	0
"267"	"cd8.positive..alpha.beta.memory.t.cell"	"naive.b.cell"	0
"291"	"cd8.positive..alpha.beta.memory.t.cell"	"nampt.neutrophil"	0
"302"	"memory.b.cell"	"nampt.neutrophil"	0
"315"	"cd8.positive..alpha.beta.memory.t.cell"	"neutrophil"	0
"338"	"cd4.positive..alpha.beta.memory.t.cell"	"nk.cell"	0
"344"	"erythrocyte"	"nk.cell"	0
"350"	"memory.b.cell"	"nk.cell"	0
"366"	"classical.monocyte"	"plasma.cell"	0
"368"	"erythrocyte"	"plasma.cell"	0
"371"	"intermediate.monocyte"	"plasma.cell"	0
"373"	"mature.nk.t.cell"	"plasma.cell"	0
"376"	"naive.thymus.derived.cd4.positive..alpha.beta.t.cell"	"plasma.cell"	0
"377"	"naive.thymus.derived.cd8.positive..alpha.beta.t.cell"	"plasma.cell"	0
"378"	"neutrophil"	"plasma.cell"	0
