"Spleen"	"Lung"	"value"
"903"	"naive.b.cell"	"vein.endothelial.cell"	0.00519031141868512
"726"	"classical.monocyte"	"respiratory.goblet.cell"	0.00517241379310345
"497"	"naive.thymus.derived.cd8.positive..alpha.beta.t.cell"	"macrophage"	0.00515463917525773
"143"	"regulatory.t.cell"	"basal.cell"	0.00512820512820513
"389"	"cd141.positive.myeloid.dendritic.cell"	"fibroblast"	0.00511408339889851
"93"	"plasmacytoid.dendritic.cell"	"alveolar.fibroblast"	0.00508905852417303
"292"	"cd8.positive..alpha.beta.t.cell"	"club.cell"	0.00503959683225342
"607"	"endothelial.cell"	"non.classical.monocyte"	0.00503095975232198
"805"	"mature.nk.t.cell"	"smooth.muscle.cell"	0.00502933780385583
"623"	"regulatory.t.cell"	"non.classical.monocyte"	0.0050251256281407
"750"	"classical.monocyte"	"respiratory.mucous.cell"	0.0050251256281407
"416"	"erythrocyte"	"intermediate.monocyte"	0.0050125313283208
"338"	"cd4.positive..alpha.beta.memory.t.cell"	"endothelial.cell.of.artery"	0.005
"859"	"nk.cell"	"type.ii.pneumocyte"	0.005
"271"	"endothelial.cell"	"classical.monocyte"	0.0049618320610687
"470"	"memory.b.cell"	"lung.microvascular.endothelial.cell"	0.00488997555012225
"728"	"erythrocyte"	"respiratory.goblet.cell"	0.0048780487804878
"832"	"naive.thymus.derived.cd4.positive..alpha.beta.t.cell"	"type.i.pneumocyte"	0.00486381322957198
"285"	"plasmacytoid.dendritic.cell"	"classical.monocyte"	0.00482160077145612
"432"	"type.i.nk.t.cell"	"intermediate.monocyte"	0.00481540930979133
"504"	"type.i.nk.t.cell"	"macrophage"	0.0048
"132"	"macrophage"	"basal.cell"	0.00479386385426654
"475"	"nk.cell"	"lung.microvascular.endothelial.cell"	0.00478468899521531
"713"	"naive.thymus.derived.cd8.positive..alpha.beta.t.cell"	"pulmonary.ionocyte"	0.00476190476190476
"781"	"mature.nk.t.cell"	"serous.cell.of.epithelium.of.bronchus"	0.00475435816164818
"328"	"naive.thymus.derived.cd4.positive..alpha.beta.t.cell"	"dendritic.cell"	0.00475059382422803
"518"	"memory.b.cell"	"mesothelial.cell"	0.00474683544303797
"792"	"type.i.nk.t.cell"	"serous.cell.of.epithelium.of.bronchus"	0.00474683544303797
"287"	"regulatory.t.cell"	"classical.monocyte"	0.004739336492891
"467"	"intermediate.monocyte"	"lung.microvascular.endothelial.cell"	0.00472813238770686
"853"	"mature.nk.t.cell"	"type.ii.pneumocyte"	0.00471698113207547
"864"	"type.i.nk.t.cell"	"type.ii.pneumocyte"	0.00470957613814757
"29"	"cd141.positive.myeloid.dendritic.cell"	"cd4.positive..alpha.beta.t.cell"	0.0046801872074883
"98"	"cd4.positive..alpha.beta.memory.t.cell"	"b.cell"	0.00466200466200466
"875"	"intermediate.monocyte"	"vascular.associated.smooth.muscle.cell"	0.0046583850931677
"658"	"innate.lymphoid.cell"	"plasma.cell"	0.00463678516228748
"108"	"macrophage"	"b.cell"	0.0046339202965709
"449"	"naive.thymus.derived.cd8.positive..alpha.beta.t.cell"	"lung.ciliated.cell"	0.00457317073170732
"474"	"neutrophil"	"lung.microvascular.endothelial.cell"	0.00456273764258555
"264"	"type.i.nk.t.cell"	"capillary.endothelial.cell"	0.00456100342075257
"905"	"naive.thymus.derived.cd8.positive..alpha.beta.t.cell"	"vein.endothelial.cell"	0.00455580865603645
"744"	"type.i.nk.t.cell"	"respiratory.goblet.cell"	0.00454545454545455
"724"	"cd8.positive..alpha.beta.t.cell"	"respiratory.goblet.cell"	0.00453514739229025
"67"	"nk.cell"	"adventitial.cell"	0.00449438202247191
"307"	"nk.cell"	"club.cell"	0.00447761194029851
"500"	"plasma.cell"	"macrophage"	0.00445765230312036
"542"	"memory.b.cell"	"myofibroblast.cell"	0.00445544554455446
"545"	"naive.thymus.derived.cd8.positive..alpha.beta.t.cell"	"myofibroblast.cell"	0.00442913385826772
"215"	"regulatory.t.cell"	"bronchial.vessel.endothelial.cell"	0.0043859649122807
"806"	"memory.b.cell"	"smooth.muscle.cell"	0.0043859649122807
"9"	"hematopoietic.stem.cell"	"cd8.positive..alpha.beta.t.cell"	0.00435097897026831
"575"	"regulatory.t.cell"	"neutrophil"	0.00435097897026831
"710"	"memory.b.cell"	"pulmonary.ionocyte"	0.00434971726837756
"843"	"cd8.positive..alpha.beta.memory.t.cell"	"type.ii.pneumocyte"	0.00433839479392625
"480"	"type.i.nk.t.cell"	"lung.microvascular.endothelial.cell"	0.00431034482758621
"89"	"naive.thymus.derived.cd8.positive..alpha.beta.t.cell"	"alveolar.fibroblast"	0.00429799426934097
"743"	"regulatory.t.cell"	"respiratory.goblet.cell"	0.00421052631578947
"884"	"plasma.cell"	"vascular.associated.smooth.muscle.cell"	0.00419287211740042
"656"	"erythrocyte"	"plasma.cell"	0.00417536534446764
"567"	"naive.b.cell"	"neutrophil"	0.00416377515614157
"32"	"erythrocyte"	"cd4.positive..alpha.beta.t.cell"	0.004149377593361
"912"	"type.i.nk.t.cell"	"vein.endothelial.cell"	0.004149377593361
"61"	"mature.nk.t.cell"	"adventitial.cell"	0.00413223140495868
"524"	"plasma.cell"	"mesothelial.cell"	0.00408163265306122
"38"	"memory.b.cell"	"cd4.positive..alpha.beta.t.cell"	0.00405679513184584
"712"	"naive.thymus.derived.cd4.positive..alpha.beta.t.cell"	"pulmonary.ionocyte"	0.0040394973070018
"256"	"naive.thymus.derived.cd4.positive..alpha.beta.t.cell"	"capillary.endothelial.cell"	0.00399467376830892
"759"	"naive.b.cell"	"respiratory.mucous.cell"	0.00398406374501992
"301"	"mature.nk.t.cell"	"club.cell"	0.00395256916996047
"784"	"naive.thymus.derived.cd4.positive..alpha.beta.t.cell"	"serous.cell.of.epithelium.of.bronchus"	0.00395256916996047
"137"	"naive.thymus.derived.cd8.positive..alpha.beta.t.cell"	"basal.cell"	0.00393700787401575
"614"	"memory.b.cell"	"non.classical.monocyte"	0.00393700787401575
"241"	"cd1c.positive.myeloid.dendritic.cell"	"capillary.endothelial.cell"	0.00392927308447937
"856"	"naive.thymus.derived.cd4.positive..alpha.beta.t.cell"	"type.ii.pneumocyte"	0.00391389432485323
"582"	"classical.monocyte"	"nk.cell"	0.00389105058365759
"232"	"naive.thymus.derived.cd4.positive..alpha.beta.t.cell"	"capillary.aerocyte"	0.0038860103626943
"774"	"classical.monocyte"	"serous.cell.of.epithelium.of.bronchus"	0.00388098318240621
"841"	"cd1c.positive.myeloid.dendritic.cell"	"type.ii.pneumocyte"	0.0038560411311054
"880"	"naive.thymus.derived.cd4.positive..alpha.beta.t.cell"	"vascular.associated.smooth.muscle.cell"	0.00384615384615385
"665"	"naive.thymus.derived.cd8.positive..alpha.beta.t.cell"	"plasma.cell"	0.00383141762452107
"730"	"innate.lymphoid.cell"	"respiratory.goblet.cell"	0.0038265306122449
"499"	"nk.cell"	"macrophage"	0.00380228136882129
"365"	"cd141.positive.myeloid.dendritic.cell"	"endothelial.cell.of.lymphatic.vessel"	0.00378310214375788
"237"	"plasmacytoid.dendritic.cell"	"capillary.aerocyte"	0.00373692077727952
"565"	"mature.nk.t.cell"	"neutrophil"	0.0037202380952381
"278"	"memory.b.cell"	"classical.monocyte"	0.00367647058823529
"63"	"naive.b.cell"	"adventitial.cell"	0.00364077669902913
"510"	"classical.monocyte"	"mesothelial.cell"	0.0036231884057971
"471"	"naive.b.cell"	"lung.microvascular.endothelial.cell"	0.0035650623885918
"1"	"cd1c.positive.myeloid.dendritic.cell"	"cd8.positive..alpha.beta.t.cell"	0.0035377358490566
"523"	"nk.cell"	"mesothelial.cell"	0.00352526439482961
"422"	"memory.b.cell"	"intermediate.monocyte"	0.00351493848857645
"351"	"naive.b.cell"	"endothelial.cell.of.artery"	0.00350877192982456
"374"	"memory.b.cell"	"endothelial.cell.of.lymphatic.vessel"	0.00347705146036161
"893"	"cd141.positive.myeloid.dendritic.cell"	"vein.endothelial.cell"	0.00347222222222222
"840"	"type.i.nk.t.cell"	"type.i.pneumocyte"	0.00346020761245675
"604"	"cd8.positive..alpha.beta.t.cell"	"non.classical.monocyte"	0.00345542501727713
"140"	"plasma.cell"	"basal.cell"	0.00333889816360601
"240"	"type.i.nk.t.cell"	"capillary.aerocyte"	0.00333704115684093
"64"	"naive.thymus.derived.cd4.positive..alpha.beta.t.cell"	"adventitial.cell"	0.00332778702163062
"888"	"type.i.nk.t.cell"	"vascular.associated.smooth.muscle.cell"	0.00330760749724366
"462"	"classical.monocyte"	"lung.microvascular.endothelial.cell"	0.00330578512396694
"672"	"type.i.nk.t.cell"	"plasma.cell"	0.00328947368421053
"627"	"cd8.positive..alpha.beta.memory.t.cell"	"pericyte.cell"	0.00328227571115974
"33"	"hematopoietic.stem.cell"	"cd4.positive..alpha.beta.t.cell"	0.00327600327600328
"761"	"naive.thymus.derived.cd8.positive..alpha.beta.t.cell"	"respiratory.mucous.cell"	0.00325732899022801
"522"	"neutrophil"	"mesothelial.cell"	0.00324675324675325
"434"	"cd4.positive..alpha.beta.memory.t.cell"	"lung.ciliated.cell"	0.00323275862068966
"274"	"innate.lymphoid.cell"	"classical.monocyte"	0.0031813361611877
"352"	"naive.thymus.derived.cd4.positive..alpha.beta.t.cell"	"endothelial.cell.of.artery"	0.00316455696202532
"670"	"platelet"	"plasma.cell"	0.00315258511979823
"164"	"plasma.cell"	"basophil"	0.00313971742543171
"521"	"naive.thymus.derived.cd8.positive..alpha.beta.t.cell"	"mesothelial.cell"	0.00310077519379845
"107"	"intermediate.monocyte"	"b.cell"	0.00309278350515464
"490"	"innate.lymphoid.cell"	"macrophage"	0.00309278350515464
"289"	"cd1c.positive.myeloid.dendritic.cell"	"club.cell"	0.00308641975308642
"569"	"naive.thymus.derived.cd8.positive..alpha.beta.t.cell"	"neutrophil"	0.00306983883346124
"757"	"mature.nk.t.cell"	"respiratory.mucous.cell"	0.00304878048780488
"62"	"memory.b.cell"	"adventitial.cell"	0.00297176820208024
"460"	"cd8.positive..alpha.beta.t.cell"	"lung.microvascular.endothelial.cell"	0.00296515937731653
"306"	"neutrophil"	"club.cell"	0.00294117647058824
"795"	"cd8.positive..alpha.beta.memory.t.cell"	"smooth.muscle.cell"	0.00294117647058824
"596"	"plasma.cell"	"nk.cell"	0.00292740046838408
"376"	"naive.thymus.derived.cd4.positive..alpha.beta.t.cell"	"endothelial.cell.of.lymphatic.vessel"	0.00292611558156547
"398"	"memory.b.cell"	"fibroblast"	0.00291788245102126
"126"	"classical.monocyte"	"basal.cell"	0.00289017341040462
"290"	"cd4.positive..alpha.beta.memory.t.cell"	"club.cell"	0.00285714285714286
"195"	"cd8.positive..alpha.beta.memory.t.cell"	"bronchial.vessel.endothelial.cell"	0.00284900284900285
"184"	"naive.thymus.derived.cd4.positive..alpha.beta.t.cell"	"bronchial.smooth.muscle.cell"	0.00284495021337127
"904"	"naive.thymus.derived.cd4.positive..alpha.beta.t.cell"	"vein.endothelial.cell"	0.00280898876404494
"242"	"cd4.positive..alpha.beta.memory.t.cell"	"capillary.endothelial.cell"	0.00277392510402219
"219"	"cd8.positive..alpha.beta.memory.t.cell"	"capillary.aerocyte"	0.00276625172890733
"320"	"erythrocyte"	"dendritic.cell"	0.00276243093922652
"619"	"nk.cell"	"non.classical.monocyte"	0.00275103163686382
"833"	"naive.thymus.derived.cd8.positive..alpha.beta.t.cell"	"type.i.pneumocyte"	0.00269299820466786
"283"	"nk.cell"	"classical.monocyte"	0.00262123197903014
"544"	"naive.thymus.derived.cd4.positive..alpha.beta.t.cell"	"myofibroblast.cell"	0.00256147540983607
"519"	"naive.b.cell"	"mesothelial.cell"	0.00254777070063694
"185"	"naive.thymus.derived.cd8.positive..alpha.beta.t.cell"	"bronchial.smooth.muscle.cell"	0.00254129606099111
"92"	"plasma.cell"	"alveolar.fibroblast"	0.00253164556962025
"652"	"cd8.positive..alpha.beta.t.cell"	"plasma.cell"	0.00252312867956266
"653"	"cd141.positive.myeloid.dendritic.cell"	"plasma.cell"	0.00251256281407035
"737"	"naive.thymus.derived.cd8.positive..alpha.beta.t.cell"	"respiratory.goblet.cell"	0.00251256281407035
"12"	"macrophage"	"cd8.positive..alpha.beta.t.cell"	0.00249584026622296
"473"	"naive.thymus.derived.cd8.positive..alpha.beta.t.cell"	"lung.microvascular.endothelial.cell"	0.0023696682464455
"230"	"memory.b.cell"	"capillary.aerocyte"	0.00236686390532544
"902"	"memory.b.cell"	"vein.endothelial.cell"	0.00233644859813084
"103"	"endothelial.cell"	"b.cell"	0.00229445506692161
"581"	"cd141.positive.myeloid.dendritic.cell"	"nk.cell"	0.00227920227920228
"188"	"plasma.cell"	"bronchial.smooth.muscle.cell"	0.00227790432801822
"733"	"mature.nk.t.cell"	"respiratory.goblet.cell"	0.00227272727272727
"698"	"cd4.positive..alpha.beta.memory.t.cell"	"pulmonary.ionocyte"	0.00227169468423444
"741"	"plasmacytoid.dendritic.cell"	"respiratory.goblet.cell"	0.00227014755959137
"362"	"cd4.positive..alpha.beta.memory.t.cell"	"endothelial.cell.of.lymphatic.vessel"	0.00224382946896036
"411"	"cd8.positive..alpha.beta.memory.t.cell"	"intermediate.monocyte"	0.00223214285714286
"576"	"type.i.nk.t.cell"	"neutrophil"	0.0022271714922049
"483"	"cd8.positive..alpha.beta.memory.t.cell"	"macrophage"	0.00222222222222222
"477"	"plasmacytoid.dendritic.cell"	"lung.microvascular.endothelial.cell"	0.00220994475138122
"892"	"cd8.positive..alpha.beta.t.cell"	"vein.endothelial.cell"	0.00219298245614035
"260"	"plasma.cell"	"capillary.endothelial.cell"	0.00215749730312837
"469"	"mature.nk.t.cell"	"lung.microvascular.endothelial.cell"	0.0021551724137931
"626"	"cd4.positive..alpha.beta.memory.t.cell"	"pericyte.cell"	0.00214132762312634
"42"	"neutrophil"	"cd4.positive..alpha.beta.t.cell"	0.0021398002853067
"138"	"neutrophil"	"basal.cell"	0.00213523131672598
"530"	"cd4.positive..alpha.beta.memory.t.cell"	"myofibroblast.cell"	0.00208116545265349
"747"	"cd8.positive..alpha.beta.memory.t.cell"	"respiratory.mucous.cell"	0.00207900207900208
"657"	"hematopoietic.stem.cell"	"plasma.cell"	0.00204498977505112
"740"	"plasma.cell"	"respiratory.goblet.cell"	0.00204498977505112
"45"	"plasmacytoid.dendritic.cell"	"cd4.positive..alpha.beta.t.cell"	0.00202224469160768
"579"	"cd8.positive..alpha.beta.memory.t.cell"	"nk.cell"	0.00202020202020202
"553"	"cd1c.positive.myeloid.dendritic.cell"	"neutrophil"	0.00201612903225806
"496"	"naive.thymus.derived.cd4.positive..alpha.beta.t.cell"	"macrophage"	0.002
"746"	"cd4.positive..alpha.beta.memory.t.cell"	"respiratory.mucous.cell"	0.002
"818"	"cd4.positive..alpha.beta.memory.t.cell"	"type.i.pneumocyte"	0.002
"621"	"plasmacytoid.dendritic.cell"	"non.classical.monocyte"	0.00199203187250996
"312"	"type.i.nk.t.cell"	"club.cell"	0.00196850393700787
"476"	"plasma.cell"	"lung.microvascular.endothelial.cell"	0.00194931773879142
"675"	"cd8.positive..alpha.beta.memory.t.cell"	"plasmacytoid.dendritic.cell"	0.00192678227360308
"755"	"intermediate.monocyte"	"respiratory.mucous.cell"	0.00192122958693564
"908"	"plasma.cell"	"vein.endothelial.cell"	0.00188323917137476
"590"	"memory.b.cell"	"nk.cell"	0.00186683260734287
"133"	"mature.nk.t.cell"	"basal.cell"	0.00181488203266788
"520"	"naive.thymus.derived.cd4.positive..alpha.beta.t.cell"	"mesothelial.cell"	0.00177935943060498
"613"	"mature.nk.t.cell"	"non.classical.monocyte"	0.00177619893428064
"75"	"cd8.positive..alpha.beta.memory.t.cell"	"alveolar.fibroblast"	0.00176678445229682
"387"	"cd8.positive..alpha.beta.memory.t.cell"	"fibroblast"	0.00175438596491228
"50"	"cd4.positive..alpha.beta.memory.t.cell"	"adventitial.cell"	0.00175131348511384
"782"	"memory.b.cell"	"serous.cell.of.epithelium.of.bronchus"	0.00172711571675302
"857"	"naive.thymus.derived.cd8.positive..alpha.beta.t.cell"	"type.ii.pneumocyte"	0.00167785234899329
"44"	"plasma.cell"	"cd4.positive..alpha.beta.t.cell"	0.0016750418760469
"332"	"plasma.cell"	"dendritic.cell"	0.0016750418760469
"288"	"type.i.nk.t.cell"	"classical.monocyte"	0.00166666666666667
"739"	"nk.cell"	"respiratory.goblet.cell"	0.00165289256198347
"421"	"mature.nk.t.cell"	"intermediate.monocyte"	0.0016025641025641
"889"	"cd1c.positive.myeloid.dendritic.cell"	"vein.endothelial.cell"	0.0016025641025641
"493"	"mature.nk.t.cell"	"macrophage"	0.00159744408945687
"566"	"memory.b.cell"	"neutrophil"	0.00154679040989946
"171"	"cd8.positive..alpha.beta.memory.t.cell"	"bronchial.smooth.muscle.cell"	0.00152905198776758
"363"	"cd8.positive..alpha.beta.memory.t.cell"	"endothelial.cell.of.lymphatic.vessel"	0.00151630022744503
"261"	"plasmacytoid.dendritic.cell"	"capillary.endothelial.cell"	0.00151515151515152
"791"	"regulatory.t.cell"	"serous.cell.of.epithelium.of.bronchus"	0.00149476831091181
"170"	"cd4.positive..alpha.beta.memory.t.cell"	"bronchial.smooth.muscle.cell"	0.00148588410104012
"65"	"naive.thymus.derived.cd8.positive..alpha.beta.t.cell"	"adventitial.cell"	0.00145772594752187
"30"	"classical.monocyte"	"cd4.positive..alpha.beta.t.cell"	0.00144927536231884
"350"	"memory.b.cell"	"endothelial.cell.of.artery"	0.00141843971631206
"194"	"cd4.positive..alpha.beta.memory.t.cell"	"bronchial.vessel.endothelial.cell"	0.00138504155124654
"218"	"cd4.positive..alpha.beta.memory.t.cell"	"capillary.aerocyte"	0.00134589502018843
"866"	"cd4.positive..alpha.beta.memory.t.cell"	"vascular.associated.smooth.muscle.cell"	0.00133155792276964
"578"	"cd4.positive..alpha.beta.memory.t.cell"	"nk.cell"	0.00132890365448505
"386"	"cd4.positive..alpha.beta.memory.t.cell"	"fibroblast"	0.00130434782608696
"509"	"cd141.positive.myeloid.dendritic.cell"	"mesothelial.cell"	0.00127713920817369
"674"	"cd4.positive..alpha.beta.memory.t.cell"	"plasmacytoid.dendritic.cell"	0.00126823081800888
"660"	"macrophage"	"plasma.cell"	0.00125156445556946
"5"	"cd141.positive.myeloid.dendritic.cell"	"cd8.positive..alpha.beta.t.cell"	0.0012453300124533
"356"	"plasma.cell"	"endothelial.cell.of.artery"	0.00123762376237624
"254"	"memory.b.cell"	"capillary.endothelial.cell"	0.00121212121212121
"192"	"type.i.nk.t.cell"	"bronchial.smooth.muscle.cell"	0.00120336943441637
"752"	"erythrocyte"	"respiratory.mucous.cell"	0.00119904076738609
"205"	"mature.nk.t.cell"	"bronchial.vessel.endothelial.cell"	0.00113765642775882
"7"	"endothelial.cell"	"cd8.positive..alpha.beta.t.cell"	0.00109529025191676
"435"	"cd8.positive..alpha.beta.memory.t.cell"	"lung.ciliated.cell"	0.00108636610537751
"418"	"innate.lymphoid.cell"	"intermediate.monocyte"	0.00103092783505155
"794"	"cd4.positive..alpha.beta.memory.t.cell"	"smooth.muscle.cell"	0.000960614793467819
"36"	"macrophage"	"cd4.positive..alpha.beta.t.cell"	0.000957854406130268
"808"	"naive.thymus.derived.cd4.positive..alpha.beta.t.cell"	"smooth.muscle.cell"	0.000932835820895522
"809"	"naive.thymus.derived.cd8.positive..alpha.beta.t.cell"	"smooth.muscle.cell"	0.000865051903114187
"400"	"naive.thymus.derived.cd4.positive..alpha.beta.t.cell"	"fibroblast"	0.000857632933104631
"555"	"cd8.positive..alpha.beta.memory.t.cell"	"neutrophil"	0.000853242320819113
"554"	"cd4.positive..alpha.beta.memory.t.cell"	"neutrophil"	0.000839630562552477
"592"	"naive.thymus.derived.cd4.positive..alpha.beta.t.cell"	"nk.cell"	0.000650618087182824
"531"	"cd8.positive..alpha.beta.memory.t.cell"	"myofibroblast.cell"	0.000524658971668416
"31"	"endothelial.cell"	"cd4.positive..alpha.beta.t.cell"	0.000387446726075165
"6"	"classical.monocyte"	"cd8.positive..alpha.beta.t.cell"	0
"14"	"memory.b.cell"	"cd8.positive..alpha.beta.t.cell"	0
"25"	"cd1c.positive.myeloid.dendritic.cell"	"cd4.positive..alpha.beta.t.cell"	0
"51"	"cd8.positive..alpha.beta.memory.t.cell"	"adventitial.cell"	0
"72"	"type.i.nk.t.cell"	"adventitial.cell"	0
"99"	"cd8.positive..alpha.beta.memory.t.cell"	"b.cell"	0
"102"	"classical.monocyte"	"b.cell"	0
"123"	"cd8.positive..alpha.beta.memory.t.cell"	"basal.cell"	0
"144"	"type.i.nk.t.cell"	"basal.cell"	0
"209"	"naive.thymus.derived.cd8.positive..alpha.beta.t.cell"	"bronchial.vessel.endothelial.cell"	0
"236"	"plasma.cell"	"capillary.aerocyte"	0
"243"	"cd8.positive..alpha.beta.memory.t.cell"	"capillary.endothelial.cell"	0
"266"	"cd4.positive..alpha.beta.memory.t.cell"	"classical.monocyte"	0
"267"	"cd8.positive..alpha.beta.memory.t.cell"	"classical.monocyte"	0
"277"	"mature.nk.t.cell"	"classical.monocyte"	0
"280"	"naive.thymus.derived.cd4.positive..alpha.beta.t.cell"	"classical.monocyte"	0
"284"	"plasma.cell"	"classical.monocyte"	0
"291"	"cd8.positive..alpha.beta.memory.t.cell"	"club.cell"	0
"305"	"naive.thymus.derived.cd8.positive..alpha.beta.t.cell"	"club.cell"	0
"308"	"plasma.cell"	"club.cell"	0
"314"	"cd4.positive..alpha.beta.memory.t.cell"	"dendritic.cell"	0
"339"	"cd8.positive..alpha.beta.memory.t.cell"	"endothelial.cell.of.artery"	0
"410"	"cd4.positive..alpha.beta.memory.t.cell"	"intermediate.monocyte"	0
"424"	"naive.thymus.derived.cd4.positive..alpha.beta.t.cell"	"intermediate.monocyte"	0
"428"	"plasma.cell"	"intermediate.monocyte"	0
"458"	"cd4.positive..alpha.beta.memory.t.cell"	"lung.microvascular.endothelial.cell"	0
"459"	"cd8.positive..alpha.beta.memory.t.cell"	"lung.microvascular.endothelial.cell"	0
"482"	"cd4.positive..alpha.beta.memory.t.cell"	"macrophage"	0
"506"	"cd4.positive..alpha.beta.memory.t.cell"	"mesothelial.cell"	0
"507"	"cd8.positive..alpha.beta.memory.t.cell"	"mesothelial.cell"	0
"568"	"naive.thymus.derived.cd4.positive..alpha.beta.t.cell"	"neutrophil"	0
"572"	"plasma.cell"	"neutrophil"	0
"602"	"cd4.positive..alpha.beta.memory.t.cell"	"non.classical.monocyte"	0
"603"	"cd8.positive..alpha.beta.memory.t.cell"	"non.classical.monocyte"	0
"616"	"naive.thymus.derived.cd4.positive..alpha.beta.t.cell"	"non.classical.monocyte"	0
"620"	"plasma.cell"	"non.classical.monocyte"	0
"640"	"naive.thymus.derived.cd4.positive..alpha.beta.t.cell"	"pericyte.cell"	0
"651"	"cd8.positive..alpha.beta.memory.t.cell"	"plasma.cell"	0
"654"	"classical.monocyte"	"plasma.cell"	0
"655"	"endothelial.cell"	"plasma.cell"	0
"659"	"intermediate.monocyte"	"plasma.cell"	0
"661"	"mature.nk.t.cell"	"plasma.cell"	0
"664"	"naive.thymus.derived.cd4.positive..alpha.beta.t.cell"	"plasma.cell"	0
"666"	"neutrophil"	"plasma.cell"	0
"667"	"nk.cell"	"plasma.cell"	0
"688"	"naive.thymus.derived.cd4.positive..alpha.beta.t.cell"	"plasmacytoid.dendritic.cell"	0
"699"	"cd8.positive..alpha.beta.memory.t.cell"	"pulmonary.ionocyte"	0
"721"	"cd1c.positive.myeloid.dendritic.cell"	"respiratory.goblet.cell"	0
"722"	"cd4.positive..alpha.beta.memory.t.cell"	"respiratory.goblet.cell"	0
"723"	"cd8.positive..alpha.beta.memory.t.cell"	"respiratory.goblet.cell"	0
"758"	"memory.b.cell"	"respiratory.mucous.cell"	0
"760"	"naive.thymus.derived.cd4.positive..alpha.beta.t.cell"	"respiratory.mucous.cell"	0
"770"	"cd4.positive..alpha.beta.memory.t.cell"	"serous.cell.of.epithelium.of.bronchus"	0
"771"	"cd8.positive..alpha.beta.memory.t.cell"	"serous.cell.of.epithelium.of.bronchus"	0
"785"	"naive.thymus.derived.cd8.positive..alpha.beta.t.cell"	"serous.cell.of.epithelium.of.bronchus"	0
"819"	"cd8.positive..alpha.beta.memory.t.cell"	"type.i.pneumocyte"	0
"842"	"cd4.positive..alpha.beta.memory.t.cell"	"type.ii.pneumocyte"	0
"890"	"cd4.positive..alpha.beta.memory.t.cell"	"vein.endothelial.cell"	0
"891"	"cd8.positive..alpha.beta.memory.t.cell"	"vein.endothelial.cell"	0
"901"	"mature.nk.t.cell"	"vein.endothelial.cell"	0
"909"	"plasmacytoid.dendritic.cell"	"vein.endothelial.cell"	0
