"Trachea"	"Lung"	"value"
"435"	"neutrophil"	"mesothelial.cell"	0.00555941626129256
"582"	"b.cell"	"pulmonary.ionocyte"	0.00555335184450615
"231"	"ionocyte"	"classical.monocyte"	0.00554134697357204
"470"	"fibroblast"	"neutrophil"	0.00553165334972342
"48"	"double.positive..alpha.beta.thymocyte"	"adventitial.cell"	0.00553041729512318
"610"	"fibroblast"	"respiratory.goblet.cell"	0.00552486187845304
"138"	"serous.cell.of.epithelium.of.trachea"	"basophil"	0.00551267916207277
"420"	"t.cell"	"macrophage"	0.00549450549450549
"746"	"ciliated.cell"	"vein.endothelial.cell"	0.00543232231779086
"165"	"cd8.positive..alpha.beta.t.cell"	"bronchial.vessel.endothelial.cell"	0.00538599640933573
"259"	"smooth.muscle.cell"	"club.cell"	0.00538213132400431
"52"	"macrophage"	"adventitial.cell"	0.00533333333333333
"630"	"fibroblast"	"respiratory.mucous.cell"	0.00531914893617021
"204"	"cd4.positive..alpha.beta.t.cell"	"capillary.endothelial.cell"	0.00528541226215645
"83"	"basal.cell"	"b.cell"	0.00527426160337553
"269"	"endothelial.cell"	"dendritic.cell"	0.00525525525525526
"95"	"neutrophil"	"b.cell"	0.00522778192681105
"134"	"mucus.secreting.cell"	"basophil"	0.00521512385919166
"400"	"t.cell"	"lung.microvascular.endothelial.cell"	0.00519480519480519
"86"	"ciliated.cell"	"b.cell"	0.00518582541054451
"126"	"ciliated.cell"	"basophil"	0.00518134715025907
"279"	"smooth.muscle.cell"	"dendritic.cell"	0.00515463917525773
"7"	"connective.tissue.cell"	"cd8.positive..alpha.beta.t.cell"	0.0051513200257566
"346"	"ciliated.cell"	"intermediate.monocyte"	0.00510421097405359
"341"	"goblet.cell"	"intermediate.monocyte"	0.00510204081632653
"401"	"goblet.cell"	"macrophage"	0.00508905852417303
"519"	"smooth.muscle.cell"	"non.classical.monocyte"	0.0050761421319797
"373"	"mast.cell"	"lung.ciliated.cell"	0.00503566932438103
"267"	"connective.tissue.cell"	"dendritic.cell"	0.00502152080344333
"349"	"endothelial.cell"	"intermediate.monocyte"	0.00497159090909091
"391"	"ionocyte"	"lung.microvascular.endothelial.cell"	0.00497062810664257
"702"	"b.cell"	"type.ii.pneumocyte"	0.00495662949194548
"716"	"plasma.cell"	"type.ii.pneumocyte"	0.00494233937397035
"440"	"t.cell"	"mesothelial.cell"	0.00493421052631579
"6"	"ciliated.cell"	"cd8.positive..alpha.beta.t.cell"	0.00492813141683778
"602"	"b.cell"	"respiratory.goblet.cell"	0.00491803278688525
"456"	"plasma.cell"	"myofibroblast.cell"	0.00489236790606654
"46"	"ciliated.cell"	"adventitial.cell"	0.00488798370672098
"26"	"ciliated.cell"	"cd4.positive..alpha.beta.t.cell"	0.00483304042179262
"217"	"secretory.cell"	"capillary.endothelial.cell"	0.00481347773766546
"521"	"goblet.cell"	"pericyte.cell"	0.0048
"393"	"mast.cell"	"lung.microvascular.endothelial.cell"	0.004778972520908
"202"	"b.cell"	"capillary.endothelial.cell"	0.00477554918815664
"577"	"secretory.cell"	"plasmacytoid.dendritic.cell"	0.0047534165181224
"382"	"b.cell"	"lung.microvascular.endothelial.cell"	0.00473186119873817
"510"	"fibroblast"	"non.classical.monocyte"	0.00472255017709563
"433"	"mast.cell"	"mesothelial.cell"	0.00471698113207547
"422"	"b.cell"	"mesothelial.cell"	0.00466744457409568
"741"	"goblet.cell"	"vein.endothelial.cell"	0.0046656298600311
"340"	"t.cell"	"fibroblast"	0.00463939266132434
"742"	"b.cell"	"vein.endothelial.cell"	0.00460122699386503
"611"	"ionocyte"	"respiratory.goblet.cell"	0.0045662100456621
"376"	"plasma.cell"	"lung.ciliated.cell"	0.00454316002019182
"752"	"macrophage"	"vein.endothelial.cell"	0.00454029511918275
"680"	"t.cell"	"smooth.muscle.cell"	0.00448028673835125
"61"	"goblet.cell"	"alveolar.fibroblast"	0.00443458980044346
"242"	"b.cell"	"club.cell"	0.00443131462333826
"229"	"endothelial.cell"	"classical.monocyte"	0.00433526011560694
"499"	"smooth.muscle.cell"	"nk.cell"	0.00432484382508409
"541"	"goblet.cell"	"plasma.cell"	0.0043010752688172
"261"	"goblet.cell"	"dendritic.cell"	0.00423131170662906
"649"	"endothelial.cell"	"serous.cell.of.epithelium.of.bronchus"	0.00423131170662906
"256"	"plasma.cell"	"club.cell"	0.00419287211740042
"127"	"connective.tissue.cell"	"basophil"	0.00417827298050139
"93"	"mast.cell"	"b.cell"	0.00416666666666667
"102"	"b.cell"	"basal.cell"	0.00416088765603329
"317"	"secretory.cell"	"endothelial.cell.of.lymphatic.vessel"	0.004149377593361
"184"	"cd4.positive..alpha.beta.t.cell"	"capillary.aerocyte"	0.00413223140495868
"316"	"plasma.cell"	"endothelial.cell.of.lymphatic.vessel"	0.00410396716826265
"141"	"goblet.cell"	"bronchial.smooth.muscle.cell"	0.00404040404040404
"285"	"cd8.positive..alpha.beta.t.cell"	"endothelial.cell.of.artery"	0.00401606425702811
"142"	"b.cell"	"bronchial.smooth.muscle.cell"	0.004004004004004
"121"	"goblet.cell"	"basophil"	0.004
"627"	"connective.tissue.cell"	"respiratory.mucous.cell"	0.00398936170212766
"154"	"mucus.secreting.cell"	"bronchial.smooth.muscle.cell"	0.00396825396825397
"139"	"smooth.muscle.cell"	"basophil"	0.00395256916996047
"221"	"goblet.cell"	"classical.monocyte"	0.00394736842105263
"140"	"t.cell"	"basophil"	0.00392156862745098
"94"	"mucus.secreting.cell"	"b.cell"	0.00391644908616188
"557"	"secretory.cell"	"plasma.cell"	0.00387596899224806
"234"	"mucus.secreting.cell"	"classical.monocyte"	0.0038560411311054
"240"	"t.cell"	"classical.monocyte"	0.00384615384615385
"481"	"goblet.cell"	"nk.cell"	0.00384615384615385
"35"	"neutrophil"	"cd4.positive..alpha.beta.t.cell"	0.00384024577572965
"116"	"plasma.cell"	"basal.cell"	0.00383877159309021
"157"	"secretory.cell"	"bronchial.smooth.muscle.cell"	0.00383141762452107
"732"	"macrophage"	"vascular.associated.smooth.muscle.cell"	0.00382848392036753
"548"	"double.positive..alpha.beta.thymocyte"	"plasma.cell"	0.00382409177820268
"632"	"macrophage"	"respiratory.mucous.cell"	0.00378787878787879
"721"	"goblet.cell"	"vascular.associated.smooth.muscle.cell"	0.00374531835205993
"337"	"secretory.cell"	"fibroblast"	0.00374064837905237
"354"	"mucus.secreting.cell"	"intermediate.monocyte"	0.0037359900373599
"722"	"b.cell"	"vascular.associated.smooth.muscle.cell"	0.00371402042711235
"194"	"mucus.secreting.cell"	"capillary.aerocyte"	0.00371057513914657
"509"	"endothelial.cell"	"non.classical.monocyte"	0.00370644922164566
"64"	"cd4.positive..alpha.beta.t.cell"	"alveolar.fibroblast"	0.00369913686806412
"360"	"t.cell"	"intermediate.monocyte"	0.0036697247706422
"270"	"fibroblast"	"dendritic.cell"	0.00360144057623049
"136"	"plasma.cell"	"basophil"	0.0035778175313059
"266"	"ciliated.cell"	"dendritic.cell"	0.00351031154014919
"737"	"secretory.cell"	"vascular.associated.smooth.muscle.cell"	0.00348432055749129
"370"	"fibroblast"	"lung.ciliated.cell"	0.00348128807658834
"629"	"endothelial.cell"	"respiratory.mucous.cell"	0.00346500346500346
"640"	"t.cell"	"respiratory.mucous.cell"	0.00346020761245675
"38"	"serous.cell.of.epithelium.of.trachea"	"cd4.positive..alpha.beta.t.cell"	0.00345622119815668
"705"	"cd8.positive..alpha.beta.t.cell"	"type.ii.pneumocyte"	0.00342465753424658
"253"	"mast.cell"	"club.cell"	0.00340522133938706
"9"	"endothelial.cell"	"cd8.positive..alpha.beta.t.cell"	0.00334672021419009
"461"	"goblet.cell"	"neutrophil"	0.0033178500331785
"108"	"double.positive..alpha.beta.thymocyte"	"basal.cell"	0.00330214639515685
"23"	"basal.cell"	"cd4.positive..alpha.beta.t.cell"	0.00329308452250274
"263"	"basal.cell"	"dendritic.cell"	0.00329308452250274
"395"	"neutrophil"	"lung.microvascular.endothelial.cell"	0.00328137817883511
"238"	"serous.cell.of.epithelium.of.trachea"	"classical.monocyte"	0.00326441784548422
"425"	"cd8.positive..alpha.beta.t.cell"	"mesothelial.cell"	0.00323974082073434
"282"	"b.cell"	"endothelial.cell.of.artery"	0.00322927879440258
"104"	"cd4.positive..alpha.beta.t.cell"	"basal.cell"	0.00322061191626409
"381"	"goblet.cell"	"lung.microvascular.endothelial.cell"	0.00319488817891374
"386"	"ciliated.cell"	"lung.microvascular.endothelial.cell"	0.00318761384335155
"504"	"cd4.positive..alpha.beta.t.cell"	"non.classical.monocyte"	0.00315955766192733
"45"	"cd8.positive..alpha.beta.t.cell"	"adventitial.cell"	0.0031055900621118
"607"	"connective.tissue.cell"	"respiratory.goblet.cell"	0.00310318076027929
"497"	"secretory.cell"	"nk.cell"	0.00309789343246592
"477"	"secretory.cell"	"neutrophil"	0.00307692307692308
"65"	"cd8.positive..alpha.beta.t.cell"	"alveolar.fibroblast"	0.00306122448979592
"754"	"mucus.secreting.cell"	"vein.endothelial.cell"	0.00302114803625378
"226"	"ciliated.cell"	"classical.monocyte"	0.003003003003003
"540"	"t.cell"	"pericyte.cell"	0.00296442687747036
"457"	"secretory.cell"	"myofibroblast.cell"	0.00295275590551181
"57"	"secretory.cell"	"adventitial.cell"	0.00293255131964809
"239"	"smooth.muscle.cell"	"classical.monocyte"	0.00293255131964809
"129"	"endothelial.cell"	"basophil"	0.00290697674418605
"652"	"macrophage"	"serous.cell.of.epithelium.of.bronchus"	0.00290416263310745
"27"	"connective.tissue.cell"	"cd4.positive..alpha.beta.t.cell"	0.00286327845382963
"369"	"endothelial.cell"	"lung.ciliated.cell"	0.00285612281328097
"644"	"cd4.positive..alpha.beta.t.cell"	"serous.cell.of.epithelium.of.bronchus"	0.00284495021337127
"174"	"mucus.secreting.cell"	"bronchial.vessel.endothelial.cell"	0.00283553875236295
"635"	"neutrophil"	"respiratory.mucous.cell"	0.0028328611898017
"536"	"plasma.cell"	"pericyte.cell"	0.00282752120640905
"320"	"t.cell"	"endothelial.cell.of.lymphatic.vessel"	0.00282685512367491
"76"	"plasma.cell"	"alveolar.fibroblast"	0.00280898876404494
"700"	"t.cell"	"type.i.pneumocyte"	0.00278293135435993
"745"	"cd8.positive..alpha.beta.t.cell"	"vein.endothelial.cell"	0.00277392510402219
"432"	"macrophage"	"mesothelial.cell"	0.00275735294117647
"624"	"cd4.positive..alpha.beta.t.cell"	"respiratory.mucous.cell"	0.00275103163686382
"34"	"mucus.secreting.cell"	"cd4.positive..alpha.beta.t.cell"	0.00274725274725275
"55"	"neutrophil"	"adventitial.cell"	0.00269723533378287
"544"	"cd4.positive..alpha.beta.t.cell"	"plasma.cell"	0.00267379679144385
"81"	"goblet.cell"	"b.cell"	0.00267022696929239
"600"	"t.cell"	"pulmonary.ionocyte"	0.00263273365511189
"105"	"cd8.positive..alpha.beta.t.cell"	"basal.cell"	0.00253164556962025
"375"	"neutrophil"	"lung.ciliated.cell"	0.00252707581227437
"156"	"plasma.cell"	"bronchial.smooth.muscle.cell"	0.0025
"180"	"t.cell"	"bronchial.vessel.endothelial.cell"	0.0025
"220"	"t.cell"	"capillary.endothelial.cell"	0.0025
"642"	"b.cell"	"serous.cell.of.epithelium.of.bronchus"	0.00248756218905473
"200"	"t.cell"	"capillary.aerocyte"	0.00243605359317905
"616"	"plasma.cell"	"respiratory.goblet.cell"	0.0024330900243309
"740"	"t.cell"	"vascular.associated.smooth.muscle.cell"	0.00241254523522316
"176"	"plasma.cell"	"bronchial.vessel.endothelial.cell"	0.00235571260306243
"463"	"basal.cell"	"neutrophil"	0.00233918128654971
"260"	"t.cell"	"club.cell"	0.00233100233100233
"392"	"macrophage"	"lung.microvascular.endothelial.cell"	0.0023121387283237
"196"	"plasma.cell"	"capillary.aerocyte"	0.00229885057471264
"362"	"b.cell"	"lung.ciliated.cell"	0.00228728270814273
"748"	"double.positive..alpha.beta.thymocyte"	"vein.endothelial.cell"	0.00228571428571429
"476"	"plasma.cell"	"neutrophil"	0.00227790432801822
"518"	"serous.cell.of.epithelium.of.trachea"	"non.classical.monocyte"	0.00226244343891403
"29"	"endothelial.cell"	"cd4.positive..alpha.beta.t.cell"	0.00224550898203593
"109"	"endothelial.cell"	"basal.cell"	0.00224047796863331
"42"	"b.cell"	"adventitial.cell"	0.00222469410456062
"756"	"plasma.cell"	"vein.endothelial.cell"	0.0022075055187638
"89"	"endothelial.cell"	"b.cell"	0.00218181818181818
"113"	"mast.cell"	"basal.cell"	0.00215982721382289
"280"	"t.cell"	"dendritic.cell"	0.00212765957446809
"120"	"t.cell"	"basal.cell"	0.00211416490486258
"32"	"macrophage"	"cd4.positive..alpha.beta.t.cell"	0.00210748155953635
"87"	"connective.tissue.cell"	"b.cell"	0.00208768267223382
"554"	"mucus.secreting.cell"	"plasma.cell"	0.00206611570247934
"336"	"plasma.cell"	"fibroblast"	0.00206100577081616
"490"	"fibroblast"	"nk.cell"	0.00205444273240883
"37"	"secretory.cell"	"cd4.positive..alpha.beta.t.cell"	0.00198807157057654
"18"	"serous.cell.of.epithelium.of.trachea"	"cd8.positive..alpha.beta.t.cell"	0.00194363459669582
"276"	"plasma.cell"	"dendritic.cell"	0.00192678227360308
"359"	"smooth.muscle.cell"	"intermediate.monocyte"	0.00190657769304099
"555"	"neutrophil"	"plasma.cell"	0.00188679245283019
"516"	"plasma.cell"	"non.classical.monocyte"	0.00187265917602996
"384"	"cd4.positive..alpha.beta.t.cell"	"lung.microvascular.endothelial.cell"	0.00186915887850467
"97"	"secretory.cell"	"b.cell"	0.0018450184501845
"545"	"cd8.positive..alpha.beta.t.cell"	"plasma.cell"	0.00184162062615101
"744"	"cd4.positive..alpha.beta.t.cell"	"vein.endothelial.cell"	0.00180831826401447
"237"	"secretory.cell"	"classical.monocyte"	0.00180505415162455
"720"	"t.cell"	"type.ii.pneumocyte"	0.00178571428571429
"236"	"plasma.cell"	"classical.monocyte"	0.00175438596491228
"506"	"ciliated.cell"	"non.classical.monocyte"	0.00174064403829417
"388"	"double.positive..alpha.beta.thymocyte"	"lung.microvascular.endothelial.cell"	0.00173110213502597
"357"	"secretory.cell"	"intermediate.monocyte"	0.00172711571675302
"356"	"plasma.cell"	"intermediate.monocyte"	0.00168067226890756
"416"	"plasma.cell"	"macrophage"	0.0016750418760469
"379"	"smooth.muscle.cell"	"lung.ciliated.cell"	0.00163867267513314
"609"	"endothelial.cell"	"respiratory.goblet.cell"	0.0016273393002441
"255"	"neutrophil"	"club.cell"	0.00158227848101266
"480"	"t.cell"	"neutrophil"	0.00157604412923562
"394"	"mucus.secreting.cell"	"lung.microvascular.endothelial.cell"	0.00155038759689922
"115"	"neutrophil"	"basal.cell"	0.00152905198776758
"543"	"basal.cell"	"plasma.cell"	0.00149700598802395
"224"	"cd4.positive..alpha.beta.t.cell"	"classical.monocyte"	0.00149253731343284
"553"	"mast.cell"	"plasma.cell"	0.00147275405007364
"605"	"cd8.positive..alpha.beta.t.cell"	"respiratory.goblet.cell"	0.00147058823529412
"364"	"cd4.positive..alpha.beta.t.cell"	"lung.ciliated.cell"	0.00143747005270724
"77"	"secretory.cell"	"alveolar.fibroblast"	0.00143472022955524
"385"	"cd8.positive..alpha.beta.t.cell"	"lung.microvascular.endothelial.cell"	0.00142045454545455
"704"	"cd4.positive..alpha.beta.t.cell"	"type.ii.pneumocyte"	0.00141043723554302
"296"	"plasma.cell"	"endothelial.cell.of.artery"	0.00136986301369863
"514"	"mucus.secreting.cell"	"non.classical.monocyte"	0.00134408602150538
"160"	"t.cell"	"bronchial.smooth.muscle.cell"	0.00132978723404255
"365"	"cd8.positive..alpha.beta.t.cell"	"lung.ciliated.cell"	0.00132978723404255
"177"	"secretory.cell"	"bronchial.vessel.endothelial.cell"	0.00119904076738609
"612"	"macrophage"	"respiratory.goblet.cell"	0.00118764845605701
"619"	"smooth.muscle.cell"	"respiratory.goblet.cell"	0.00115473441108545
"1"	"goblet.cell"	"cd8.positive..alpha.beta.t.cell"	0.00114810562571757
"14"	"mucus.secreting.cell"	"cd8.positive..alpha.beta.t.cell"	0.00112485939257593
"625"	"cd8.positive..alpha.beta.t.cell"	"respiratory.mucous.cell"	0.00111482720178372
"62"	"b.cell"	"alveolar.fibroblast"	0.00109409190371991
"380"	"t.cell"	"lung.ciliated.cell"	0.00103145951521403
"39"	"smooth.muscle.cell"	"cd4.positive..alpha.beta.t.cell"	0.00102669404517454
"119"	"smooth.muscle.cell"	"basal.cell"	0.00102354145342886
"10"	"fibroblast"	"cd8.positive..alpha.beta.t.cell"	0.00100502512562814
"99"	"smooth.muscle.cell"	"b.cell"	0.000987166831194472
"537"	"secretory.cell"	"pericyte.cell"	0.000955109837631328
"615"	"neutrophil"	"respiratory.goblet.cell"	0.000834724540901503
"551"	"ionocyte"	"plasma.cell"	0.000484966052376334
"372"	"macrophage"	"lung.ciliated.cell"	0.000413223140495868
"17"	"secretory.cell"	"cd8.positive..alpha.beta.t.cell"	0
"19"	"smooth.muscle.cell"	"cd8.positive..alpha.beta.t.cell"	0
"21"	"goblet.cell"	"cd4.positive..alpha.beta.t.cell"	0
"30"	"fibroblast"	"cd4.positive..alpha.beta.t.cell"	0
"44"	"cd4.positive..alpha.beta.t.cell"	"adventitial.cell"	0
"60"	"t.cell"	"adventitial.cell"	0
"80"	"t.cell"	"alveolar.fibroblast"	0
"90"	"fibroblast"	"b.cell"	0
"112"	"macrophage"	"basal.cell"	0
"216"	"plasma.cell"	"capillary.endothelial.cell"	0
"244"	"cd4.positive..alpha.beta.t.cell"	"club.cell"	0
"245"	"cd8.positive..alpha.beta.t.cell"	"club.cell"	0
"277"	"secretory.cell"	"dendritic.cell"	0
"396"	"plasma.cell"	"lung.microvascular.endothelial.cell"	0
"397"	"secretory.cell"	"lung.microvascular.endothelial.cell"	0
"501"	"goblet.cell"	"non.classical.monocyte"	0
"517"	"secretory.cell"	"non.classical.monocyte"	0
"546"	"ciliated.cell"	"plasma.cell"	0
"547"	"connective.tissue.cell"	"plasma.cell"	0
"549"	"endothelial.cell"	"plasma.cell"	0
"550"	"fibroblast"	"plasma.cell"	0
"552"	"macrophage"	"plasma.cell"	0
"558"	"serous.cell.of.epithelium.of.trachea"	"plasma.cell"	0
"559"	"smooth.muscle.cell"	"plasma.cell"	0
"560"	"t.cell"	"plasma.cell"	0
"604"	"cd4.positive..alpha.beta.t.cell"	"respiratory.goblet.cell"	0
"608"	"double.positive..alpha.beta.thymocyte"	"respiratory.goblet.cell"	0
"613"	"mast.cell"	"respiratory.goblet.cell"	0
"620"	"t.cell"	"respiratory.goblet.cell"	0
"622"	"b.cell"	"respiratory.mucous.cell"	0
"660"	"t.cell"	"serous.cell.of.epithelium.of.bronchus"	0
"760"	"t.cell"	"vein.endothelial.cell"	0
